split,model,cindex
1,ORSF,0.39331618641350563
1,RSF,0.39700695635202765
1,XGB,0.39276901844339424
2,ORSF,0.38425714774379294
2,RSF,0.3909594937430518
2,XGB,0.4020196117556512
