model,n_splits,mean_cindex,sd_cindex,ci_lower,ci_upper
ORSF,2,0.3786444618966131,0.006368286705200047,0.3214276759402188,0.43586124785300734
RSF,2,0.3798335667093024,0.012902097285315434,0.2639128217843486,0.4957543116342561
XGB,2,0.3692382818776269,2.866474697686812e-4,0.3666628565423787,0.37181370721287516
