model,n_splits,mean_cindex,sd_cindex,ci_lower,ci_upper
ORSF,2,0.3887866670786493,0.006405707674385006,0.33123366705350266,0.44633966710379586
RSF,2,0.3939832250475397,0.004276201819778931,0.35556307602553533,0.432403374069544
XGB,2,0.3973943150995227,0.00654115726109583,0.33862434882120995,0.45616428137783543
