dataset,model,selection_rank,selected,mean_cindex,sd_cindex,n_splits,ci_lower,ci_upper,feature_dispersion,chosen_rule
full,RSF,1,FALSE,0.3798335667093024,0.012902097285315434,2,0.3619521721646312,0.3977149612539736,NA,tie_rule_sd
full,ORSF,2,TRUE,0.3786444618966131,0.006368286705200047,2,0.3698184668175904,0.3874704569756358,NA,tie_rule_sd
full,XGB,3,FALSE,0.3692382818776269,2.866474697686812e-4,2,0.36884100875304743,0.3696355550022064,NA,tie_rule_sd
