feature,importance,cohort,model
txldpt,0.9634048864395,Myocardio,RSF
lsdcd,0.958207650500091,Myocardio,RSF
don_t3,0.9489665471038514,Myocardio,RSF
dhxnone,0.9459405427379785,Myocardio,RSF
don_dop,0.9370472086422673,Myocardio,RSF
lpacebiv,0.9297558657797903,Myocardio,RSF
lshemo,0.9150235063160531,Myocardio,RSF
txvldl_r,0.9025793028015522,Myocardio,RSF
prim_dx,0.8824409525435186,Myocardio,RSF
hxrenins,0.8750853319796801,Myocardio,RSF
hxtrans,0.8630680355044742,Myocardio,RSF
slvad,0.8473543256403675,Myocardio,RSF
txecmo,0.8345685225150186,Myocardio,RSF
lsrhfcl,0.8324998647600547,Myocardio,RSF
lsprocm,0.7953910855502984,Myocardio,RSF
donspecp,0.768183995627163,Myocardio,RSF
slicu,0.7547475999277549,Myocardio,RSF
drpr,0.7458476614543312,Myocardio,RSF
ttmaxvo2,0.7448800575069231,Myocardio,RSF
hxvtach,0.7431578585374657,Myocardio,RSF
dhbcab,0.7408573084996232,Myocardio,RSF
lsfcpra,0.7377453571882586,Myocardio,RSF
txbili_t_r_high,0.7341665201092726,Myocardio,RSF
dmhhyten,0.7275883874718334,Myocardio,RSF
atrial,0.7270239412225828,Myocardio,RSF
slnomcsd,0.7161765960535571,Myocardio,RSF
hxsurg,0.7147779811398455,Myocardio,RSF
slecmo,0.711461651902553,Myocardio,RSF
txvent,0.6996252870416326,Myocardio,RSF
lshemagt,0.683567827017114,Myocardio,RSF
don_oth,0.6828458638252,Myocardio,RSF
hxfail,0.6671157939950519,Myocardio,RSF
txalt_high,0.6581583127600612,Myocardio,RSF
lsaboinc,0.6510252483004318,Myocardio,RSF
dtime,0.616825590938886,Myocardio,RSF
hxshock,0.6156948165991575,Myocardio,RSF
slhosp,0.6117716265282555,Myocardio,RSF
dptxecho,0.6087226303671583,Myocardio,RSF
don_mil,0.6081407449007837,Myocardio,RSF
toxo,0.606664319430889,Myocardio,RSF
txhemo,0.5992946436115775,Myocardio,RSF
lebvpcr,0.5960141323814202,Myocardio,RSF
dmhdiab,0.5893744244861728,Myocardio,RSF
dhiv,0.5869783939585929,Myocardio,RSF
don_epi,0.5793860584217049,Myocardio,RSF
txnomcsd,0.5733624706331426,Myocardio,RSF
lschool,0.5691550272387359,Myocardio,RSF
txinhosp,0.5639349242692059,Myocardio,RSF
txbun_r_high,0.553672530660285,Myocardio,RSF
hlatxpre,0.5520748016334472,Myocardio,RSF
don_nsyn,0.5030861185248107,Myocardio,RSF
txmcsd,0.500209293509448,Myocardio,RSF
dhbsag,0.49542337061212066,Myocardio,RSF
hxmalig,0.4946547981524866,Myocardio,RSF
lsnox,0.4934922743930549,Myocardio,RSF
dhcab,0.49270827655176075,Myocardio,RSF
hxgiot,0.48361540355436433,Myocardio,RSF
hxvfib,0.46790791051066005,Myocardio,RSF
canlocsp,0.4665553760925764,Myocardio,RSF
tdsa,0.46463454642666707,Myocardio,RSF
txidtsys,0.4618814790373667,Myocardio,RSF
lcmvpcr,0.4592292029399218,Myocardio,RSF
rdobdose,0.4476242659513209,Myocardio,RSF
hxmet,0.4395080201347388,Myocardio,RSF
roprdsc1,0.43292198488091993,Myocardio,RSF
hxaicd,0.43256838001692577,Myocardio,RSF
canlocpr,0.42819303708117923,Myocardio,RSF
dmhothr,0.4279501639314928,Myocardio,RSF
txmilrin,0.41935622989581106,Myocardio,RSF
lsldpt,0.4167816144476276,Myocardio,RSF
status_txpl,0.4005298010841032,Myocardio,RSF
txhemagt,0.39374977114582965,Myocardio,RSF
bicaval,0.3816740190251429,Myocardio,RSF
drisk,0.3780751223981602,Myocardio,RSF
tdsacl1,0.3773754578532257,Myocardio,RSF
lshpo2,0.36795591483313295,Myocardio,RSF
rdopdose,0.3655475141561314,Myocardio,RSF
atrskhst,0.36495482221723313,Myocardio,RSF
don_dob,0.36246374894583916,Myocardio,RSF
riskothr,0.3514529323228934,Myocardio,RSF
neuroth,0.3273445336920638,Myocardio,RSF
lsvaso,0.32648240874095763,Myocardio,RSF
donspac,0.3260596913280821,Myocardio,RSF
hxotresp,0.3204915518328505,Myocardio,RSF
atrskshs,0.2952886329957108,Myocardio,RSF
mthrhiv,0.28909602468419193,Myocardio,RSF
hxgi,0.2808606254746102,Myocardio,RSF
txo2,0.2775722014681272,Myocardio,RSF
lsmshemo,0.2648347331872332,Myocardio,RSF
tdsacl2,0.2592268716544023,Myocardio,RSF
hxneuro,0.2464941167812673,Myocardio,RSF
dhxinsul,0.24000214451458574,Myocardio,RSF
txepine,0.23577849179544158,Myocardio,RSF
hxresp,0.2350876714202405,Myocardio,RSF
incarctn,0.2320114983060467,Myocardio,RSF
lsfpres,0.22934972130587683,Myocardio,RSF
hxdiab,0.22782258418313167,Myocardio,RSF
hxprenat,0.22103432250497806,Myocardio,RSF
dmhinf,0.21340913782553236,Myocardio,RSF
hxpuldis,0.21253143642973918,Myocardio,RSF
lsttperf,0.2108859743885355,Myocardio,RSF
dhxunk,0.2105622542175113,Myocardio,RSF
slddpsc,0.2098909795800142,Myocardio,RSF
hxcva,0.20292968127819147,Myocardio,RSF
lpace,0.20267414989697097,Myocardio,RSF
hxnoonan,0.20258751727746976,Myocardio,RSF
dptxangi,0.20148221796599516,Myocardio,RSF
mitreg,0.19714994966144203,Myocardio,RSF
lsdopa,0.19435141587693353,Myocardio,RSF
techunk,0.19423885947510275,Myocardio,RSF
dptxnorm,0.18016602999568876,Myocardio,RSF
hxmitty,0.17702215204963848,Myocardio,RSF
lsdobut,0.1728200201358259,Myocardio,RSF
hemdilut,0.17048333306852784,Myocardio,RSF
spschool,0.1622178200468746,Myocardio,RSF
hbcab,0.15978840258709706,Myocardio,RSF
lspgi,0.1597841237721837,Myocardio,RSF
txnpruss,0.15735514597883626,Myocardio,RSF
txdopa,0.15431271286471432,Myocardio,RSF
abseptmo,0.15123220774351853,Myocardio,RSF
hxdmd,0.14974119457712817,Myocardio,RSF
hxhep,0.14813361277359458,Myocardio,RSF
hiscanc,0.14554747506123306,Myocardio,RSF
hxsyn,0.14071569689677996,Myocardio,RSF
txfontp,0.12955023323001302,Myocardio,RSF
aaschool,0.1250458061786315,Myocardio,RSF
cancpro,0.12416814861343602,Myocardio,RSF
lsnorepi,0.11281676807511257,Myocardio,RSF
tdsaunk,0.10649974937153842,Myocardio,RSF
hxmit,0.1058010823213071,Myocardio,RSF
hbsag,0.10080676857249782,Myocardio,RSF
txno2,0.09590567617352526,Myocardio,RSF
primels,0.09208590344272095,Myocardio,RSF
rpr,0.08932528914840768,Myocardio,RSF
dwma,0.08203676832549428,Myocardio,RSF
lssild,0.08177922258965467,Myocardio,RSF
lsnitrop,0.07218618177426739,Myocardio,RSF
hxlymleu,0.04454869887324254,Myocardio,RSF
hxbeckmd,0.04408045499832815,Myocardio,RSF
