feature,importance,cohort,model
esteject,0.6027300460269119,Combined,CatBoost
lshemagt,0.5985386349761438,Combined,CatBoost
lebvpcr,0.5983353397926882,Combined,CatBoost
lsunkn,0.5962707668985608,Combined,CatBoost
txsvcsat,0.5960629432850278,Combined,CatBoost
hxgi,0.5921794200522437,Combined,CatBoost
atrskshs,0.590457132760041,Combined,CatBoost
spschool,0.5833125963731268,Combined,CatBoost
slhosp,0.583183424536277,Combined,CatBoost
lscntry,0.581805184101955,Combined,CatBoost
lsmshemo,0.5782513356283344,Combined,CatBoost
lssild,0.5779161824005508,Combined,CatBoost
hxtrans,0.577586398140838,Combined,CatBoost
txcreat_r,0.5718875162621793,Combined,CatBoost
txnorepi,0.5667542807164526,Combined,CatBoost
txalt_high,0.5642445579260111,Combined,CatBoost
txbili_d_r,0.5605018012743908,Combined,CatBoost
anxinj,0.5584879159548158,Combined,CatBoost
hemdilut,0.5565099655718936,Combined,CatBoost
hxsyn,0.5517213704978238,Combined,CatBoost
lschool,0.5482995225875975,Combined,CatBoost
hxcrd,0.5478958891076026,Combined,CatBoost
donspac,0.5401984735228129,Combined,CatBoost
lspge,0.5379369365443982,Combined,CatBoost
don_dob,0.5379222029869989,Combined,CatBoost
draboat,0.5331893482978913,Combined,CatBoost
txhdl_r,0.5308812672912828,Combined,CatBoost
lsast,0.5287033293008058,Combined,CatBoost
txbrs,0.5273406162411927,Combined,CatBoost
permunk,0.5255326964952147,Combined,CatBoost
slicu,0.5246611282197428,Combined,CatBoost
age_txpl_months,0.5241396176121897,Combined,CatBoost
aaschool,0.5187207377511286,Combined,CatBoost
hxmed,0.5169614525003716,Combined,CatBoost
slvad,0.5107011355484494,Combined,CatBoost
lshemo,0.5061104827861329,Combined,CatBoost
toxo,0.5042600079890699,Combined,CatBoost
hxrenins,0.5031517458096247,Combined,CatBoost
cpr,0.49799452147742257,Combined,CatBoost
chd_aa,0.4964158502503326,Combined,CatBoost
chd_mstn,0.49090181634838537,Combined,CatBoost
lsnyha,0.4882489789686337,Combined,CatBoost
tdsacl2,0.48822275433108697,Combined,CatBoost
txidtsys,0.4879517741846817,Combined,CatBoost
lsbci,0.4859409796039159,Combined,CatBoost
lpacebiv,0.48582581821035525,Combined,CatBoost
techunk,0.48248389042559914,Combined,CatBoost
hxdigorg,0.47963817297902245,Combined,CatBoost
chd_dex,0.47396879619482457,Combined,CatBoost
lsprocm,0.47263949675743777,Combined,CatBoost
lldl_r,0.4723378776390936,Combined,CatBoost
hbcab,0.4711966516860522,Combined,CatBoost
slvent,0.46623403000657054,Combined,CatBoost
txbpcw,0.4662281666723298,Combined,CatBoost
lsbrs,0.4642168249937259,Combined,CatBoost
chd_tr,0.46281516918753685,Combined,CatBoost
hxvfib,0.4622734076714339,Combined,CatBoost
donor_age,0.4615277437240842,Combined,CatBoost
txdobut,0.4602930385981227,Combined,CatBoost
egfr_change,0.45414971095684215,Combined,CatBoost
slecmo,0.45210805028242107,Combined,CatBoost
age_txpl,0.4512223640590264,Combined,CatBoost
hxfonlvr_bin,0.4497146052584971,Combined,CatBoost
lsbili_t_r,0.4473362251746156,Combined,CatBoost
don_nsyn,0.4472146715408769,Combined,CatBoost
lsfprab,0.44706421284343395,Combined,CatBoost
hxisoth,0.4446957826184561,Combined,CatBoost
hlatxpre,0.44296050408488635,Combined,CatBoost
lspalb_r,0.4412102489495799,Combined,CatBoost
lspcmt,0.4380757415178444,Combined,CatBoost
dptxangi,0.4328657802152177,Combined,CatBoost
mthrhiv,0.4295179534550815,Combined,CatBoost
hxnoonan,0.4293520103675744,Combined,CatBoost
lpace,0.42554227512658355,Combined,CatBoost
txbram,0.422595803052001,Combined,CatBoost
hxspbmt,0.42240918563761387,Combined,CatBoost
hxiso,0.4196867859364792,Combined,CatBoost
txldl_r,0.4139099801128306,Combined,CatBoost
statlist,0.410240799153006,Combined,CatBoost
hxotresp,0.4098043219163978,Combined,CatBoost
lsbpcw,0.40822746274364186,Combined,CatBoost
efind,0.4060919953784853,Combined,CatBoost
chd_dilv,0.4045572555768881,Combined,CatBoost
ttndr,0.4033406179069821,Combined,CatBoost
chd_alcapa,0.4023925911741277,Combined,CatBoost
txbaosat,0.4011569949724238,Combined,CatBoost
txbci,0.3986259752787573,Combined,CatBoost
lchol_r,0.39379945419043416,Combined,CatBoost
hxprenat,0.39374550211804527,Combined,CatBoost
chd_anom,0.39329708447797623,Combined,CatBoost
height_txpl,0.3924566933567795,Combined,CatBoost
txmilrin,0.39232915806527935,Combined,CatBoost
hxresp,0.38817309028586455,Combined,CatBoost
hxtrach,0.38404353009569886,Combined,CatBoost
dhbcab,0.38315319740340953,Combined,CatBoost
chd_tapvr,0.38289131310687374,Combined,CatBoost
