feature,importance,cohort,model
txvldl_r,0.0032505805000038416,Myocardio,XGBoost
lsfcpra,0.003223356214738196,Myocardio,XGBoost
efind,0.0031664400451209295,Myocardio,XGBoost
txbcdc,0.0031145520162749376,Myocardio,XGBoost
statlist,0.0030744045939940625,Myocardio,XGBoost
spschool,0.0030201991241668013,Myocardio,XGBoost
don_dop,0.003011464135740474,Myocardio,XGBoost
txicu,0.0029774070572612904,Myocardio,XGBoost
lsprocm,0.002976977709821534,Myocardio,XGBoost
donspecp,0.002975988832367403,Myocardio,XGBoost
hxnoonan,0.0029719119261429716,Myocardio,XGBoost
lsbrp,0.0029058171264375646,Myocardio,XGBoost
drisk,0.002829269958038415,Myocardio,XGBoost
slnomcsd,0.0027795951952409455,Myocardio,XGBoost
ebv,0.0027692225947002587,Myocardio,XGBoost
hxsurg,0.002744768603465126,Myocardio,XGBoost
lsbaosat,0.00274332680396639,Myocardio,XGBoost
dcmv,0.0027083843900509975,Myocardio,XGBoost
hbsag,0.00269104971425553,Myocardio,XGBoost
don_nsyn,0.002686770529204623,Myocardio,XGBoost
ttndr,0.0026803499333985835,Myocardio,XGBoost
aaschool,0.00265615594261841,Myocardio,XGBoost
cancpro,0.0026547861698483204,Myocardio,XGBoost
lspbnp_r,0.0026065988318943207,Myocardio,XGBoost
dhcab,0.002596292190697534,Myocardio,XGBoost
ecmo_combined,0.0025819366635697616,Myocardio,XGBoost
txsvcsat,0.002570791709546316,Myocardio,XGBoost
cmv,0.002569624767898464,Myocardio,XGBoost
donspac,0.002552857855683271,Myocardio,XGBoost
lscstat,0.0025462889180057372,Myocardio,XGBoost
hbcab,0.00251502390584507,Myocardio,XGBoost
bicaval,0.0025134312977309298,Myocardio,XGBoost
dmechod,0.0025062057994643745,Myocardio,XGBoost
lspalb_r,0.002504540991020607,Myocardio,XGBoost
txvent,0.0024451205617925273,Myocardio,XGBoost
hxsolorg,0.002423853008247039,Myocardio,XGBoost
lshpo2,0.002411182177776223,Myocardio,XGBoost
tdsa,0.0023780027132047775,Myocardio,XGBoost
atrial,0.0023429806270694174,Myocardio,XGBoost
txinhosp,0.002330574123257448,Myocardio,XGBoost
dhbcab,0.0022457804162689093,Myocardio,XGBoost
egfr_tx_cat,0.002186120268088844,Myocardio,XGBoost
lcmvpcr,0.0021806171362347983,Myocardio,XGBoost
roprdsc1,0.0021696139292262146,Myocardio,XGBoost
lsnyha,0.002138077099040976,Myocardio,XGBoost
txpbnp_r,0.002133909899616186,Myocardio,XGBoost
dmhinf,0.0021291410614975572,Myocardio,XGBoost
txepine,0.0021187299197400642,Myocardio,XGBoost
drhtype,0.0020948110907776317,Myocardio,XGBoost
abseptmo,0.002078175131379678,Myocardio,XGBoost
dhxunk,0.002077948846410923,Myocardio,XGBoost
txhemagt,0.002067831986011869,Myocardio,XGBoost
prm_list,0.002051036870475304,Myocardio,XGBoost
rdobdose,0.002049073712165455,Myocardio,XGBoost
hxmalig,0.0020327002868163174,Myocardio,XGBoost
lspcmt,0.002027566845519762,Myocardio,XGBoost
dmhothr,0.0020120722756687237,Myocardio,XGBoost
don_vpr,0.001983408372181924,Myocardio,XGBoost
lscntry,0.0019739737788818158,Myocardio,XGBoost
dhxnone,0.0019565280562053497,Myocardio,XGBoost
slicu,0.0019196337210674094,Myocardio,XGBoost
drpr,0.001919488562435946,Myocardio,XGBoost
txbram,0.0019169013381807973,Myocardio,XGBoost
hbsab,0.0019092059799387059,Myocardio,XGBoost
hxcva,0.00189858951163855,Myocardio,XGBoost
hxsyn,0.0018929720145962243,Myocardio,XGBoost
dabotype,0.0018599823115373376,Myocardio,XGBoost
don_oth,0.0018250036845676666,Myocardio,XGBoost
dtoxo,0.0017995054231735375,Myocardio,XGBoost
slinods,0.0017596468708509358,Myocardio,XGBoost
lschool,0.0017191080625568649,Myocardio,XGBoost
hxprenat,0.0017136080778729483,Myocardio,XGBoost
dtime,0.0017089441227320812,Myocardio,XGBoost
lvldl_r,0.0017026289973097655,Myocardio,XGBoost
hxvtach,0.0017009956055925733,Myocardio,XGBoost
tdsaunk,0.0016964693546368038,Myocardio,XGBoost
rabotype,0.0016431261902637667,Myocardio,XGBoost
hxmet,0.0016366677149006398,Myocardio,XGBoost
techunk,0.001634584241124121,Myocardio,XGBoost
lshemagt,0.001632383931532113,Myocardio,XGBoost
don_mil,0.0015981729517526094,Myocardio,XGBoost
txaboinc,0.0015920140476291917,Myocardio,XGBoost
riskothr,0.0015719119018886563,Myocardio,XGBoost
txalt_high,0.0015493227199039484,Myocardio,XGBoost
txno2,0.0014913088993390368,Myocardio,XGBoost
lsaboinc,0.001483781003587421,Myocardio,XGBoost
txtdsxm,0.0014573227429813282,Myocardio,XGBoost
dmhdiab,0.0014423521567136653,Myocardio,XGBoost
pacemake,0.0014341456612273766,Myocardio,XGBoost
lsnox,0.0013705732047832324,Myocardio,XGBoost
dptxecho,0.0013464299276217406,Myocardio,XGBoost
hxotresp,0.0013401933288877115,Myocardio,XGBoost
txbdsxn,0.0013174969800129235,Myocardio,XGBoost
hxmed,0.0013162787428554375,Myocardio,XGBoost
hxarryth,0.0012854170672607936,Myocardio,XGBoost
slecmo,0.0012816676769705935,Myocardio,XGBoost
lsmilrin,0.0012731605251836715,Myocardio,XGBoost
don_dob,0.0012522927287697328,Myocardio,XGBoost
hxtrans,0.0012208719411862425,Myocardio,XGBoost
hxdysdia,0.0011653338731414228,Myocardio,XGBoost
txpalb_r,0.001072525299908126,Myocardio,XGBoost
hxshock,0.0010709351299311718,Myocardio,XGBoost
trireg,9.917482425581613e-4,Myocardio,XGBoost
rpr,9.669624041316096e-4,Myocardio,XGBoost
txbun_r_high,8.806161678039648e-4,Myocardio,XGBoost
donspxm,8.464165881246773e-4,Myocardio,XGBoost
slvad,8.375665478425819e-4,Myocardio,XGBoost
slvent,7.888460750297078e-4,Myocardio,XGBoost
lsmshemo,7.627363701953316e-4,Myocardio,XGBoost
hxresp,7.459589959755797e-4,Myocardio,XGBoost
egfr_listing_cat,7.29707695737495e-4,Myocardio,XGBoost
dptxangi,6.108099846889575e-4,Myocardio,XGBoost
hxgi,5.986692053876369e-4,Myocardio,XGBoost
txedp,5.387896935394165e-4,Myocardio,XGBoost
hxcpr,5.151326271722411e-4,Myocardio,XGBoost
