Cohort,Model,C_Index_Mean,C_Index_SD,C_Index_CI_Lower,C_Index_CI_Upper,n_splits,feature,importance,Rank,Base_Feature,Category,Potential_Intervention,Modifiability,Best_Model
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,hxdysdia,0.27309826706908447,34,hxdysdia,Kidney Function,Dialysis management,Partially Modifiable,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,hxtrach,0.19277858762131406,35,hxtrach,Respiratory,Tracheostomy care,Partially Modifiable,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,ltxtrach,0.1566893111094231,36,ltxtrach,Respiratory,Tracheostomy care,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txsa_r,16.641932805806757,1,txsa,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,egfr_tx,10.55814845451222,2,egfr,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txalt,9.799423180572415,3,txalt,Liver Function,Liver function monitoring,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txcreat_r,9.305077033966546,4,txcreat,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txbili_t_r,8.225428270666752,5,txbili,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txvad,7.335739551613689,6,txvad,Cardiac,VAD support,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txbili_d_r,7.180893686057553,7,txbili,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,age_txpl,6.222333668737617,8,age,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,bmi_txpl,6.020875763995832,9,bmi,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,hxrenins,5.432819228076737,10,hxrenins,Kidney Function,Renal optimization,Partially Modifiable,CatBoost
