period,rank,feature,importance,cindex_td,cindex_ti
original,1,txpl_year,4.049988461952754,0.8702540718327031,0.88646223559941
original,2,listing_year,3.291823642570061,0.8702540718327031,0.88646223559941
original,3,cpbypass,2.9764396923500636,0.8702540718327031,0.88646223559941
original,4,lsalt,2.6686079873250934,0.8702540718327031,0.88646223559941
original,5,bmi_txpl,2.575465605482218,0.8702540718327031,0.88646223559941
original,6,donisch,2.185878534882979,0.8702540718327031,0.88646223559941
original,7,egfr_tx,1.9266630436437215,0.8702540718327031,0.88646223559941
original,8,txalt,1.83524688477209,0.8702540718327031,0.88646223559941
original,9,txbun_r,1.8061380492653745,0.8702540718327031,0.88646223559941
original,10,txast,1.7472219859601519,0.8702540718327031,0.88646223559941
original,11,lbun_r,1.7392002443078567,0.8702540718327031,0.88646223559941
original,12,durcarst,1.6506905521757125,0.8702540718327031,0.88646223559941
original,13,txtp_r,1.5812757667180526,0.8702540718327031,0.88646223559941
original,14,txsa_r,1.5721062742695355,0.8702540718327031,0.88646223559941
original,15,lsast,1.5697394961439315,0.8702540718327031,0.88646223559941
original,16,lssab_r,1.5569400858962295,0.8702540718327031,0.88646223559941
original,17,fracshor,1.5421428330367692,0.8702540718327031,0.88646223559941
original,18,lcreat_r,1.4867168832770572,0.8702540718327031,0.88646223559941
original,19,cprmin,1.3927378318058898,0.8702540718327031,0.88646223559941
original,20,lbnp,1.385879056698589,0.8702540718327031,0.88646223559941
full,1,txpl_year,8.530064651323315,0.80934220719769,0.8207928877621157
full,2,listing_year,6.77598835032852,0.80934220719769,0.8207928877621157
full,3,cpbypass,2.539991307067836,0.80934220719769,0.8207928877621157
full,4,bmi_txpl,2.3672918308852577,0.80934220719769,0.8207928877621157
full,5,lsalt,1.8283367360866802,0.80934220719769,0.8207928877621157
full,6,txast,1.788989064266298,0.80934220719769,0.8207928877621157
full,7,durcarst,1.7791903275914012,0.80934220719769,0.8207928877621157
full,8,egfr_tx,1.7544949965766408,0.80934220719769,0.8207928877621157
full,9,donisch,1.7179941704064965,0.80934220719769,0.8207928877621157
full,10,txalt,1.605441940306568,0.80934220719769,0.8207928877621157
full,11,weight_donor,1.5258158994623507,0.80934220719769,0.8207928877621157
full,12,lcreat_r,1.49804276881388,0.80934220719769,0.8207928877621157
full,13,lbun_r,1.4876397059794308,0.80934220719769,0.8207928877621157
full,14,txtp_r,1.4719835889465056,0.80934220719769,0.8207928877621157
full,15,lstp_r,1.4428677199987525,0.80934220719769,0.8207928877621157
full,16,lsast,1.441596124072203,0.80934220719769,0.8207928877621157
full,17,height_donor,1.392148848083494,0.80934220719769,0.8207928877621157
full,18,lssab_r,1.3874901990234063,0.80934220719769,0.8207928877621157
full,19,age_listing,1.3486626660932866,0.80934220719769,0.8207928877621157
full,20,fracshor,1.3380051781918525,0.80934220719769,0.8207928877621157
full_no_covid,1,txpl_year,4.417657986214305,0.8700127846002255,0.8777822217564362
full_no_covid,2,listing_year,4.181177624061543,0.8700127846002255,0.8777822217564362
full_no_covid,3,cpbypass,3.1515234131813976,0.8700127846002255,0.8777822217564362
full_no_covid,4,bmi_txpl,2.659130423308156,0.8700127846002255,0.8777822217564362
full_no_covid,5,egfr_tx,2.3793065848211077,0.8700127846002255,0.8777822217564362
full_no_covid,6,lsalt,2.169307514122622,0.8700127846002255,0.8777822217564362
full_no_covid,7,donisch,2.123345255161958,0.8700127846002255,0.8777822217564362
full_no_covid,8,txtp_r,1.982604246587972,0.8700127846002255,0.8777822217564362
full_no_covid,9,txast,1.8621060070905788,0.8700127846002255,0.8777822217564362
full_no_covid,10,txalt,1.81864248864157,0.8700127846002255,0.8777822217564362
full_no_covid,11,fracshor,1.7180975034569843,0.8700127846002255,0.8777822217564362
full_no_covid,12,lbun_r,1.6811187268610588,0.8700127846002255,0.8777822217564362
full_no_covid,13,durcarst,1.590267741796868,0.8700127846002255,0.8777822217564362
full_no_covid,14,txbun_r,1.5845509184616386,0.8700127846002255,0.8777822217564362
full_no_covid,15,height_donor,1.581786882819383,0.8700127846002255,0.8777822217564362
full_no_covid,16,lstp_r,1.5542978556714242,0.8700127846002255,0.8777822217564362
full_no_covid,17,lsast,1.5175980446780775,0.8700127846002255,0.8777822217564362
full_no_covid,18,lssab_r,1.435224372679938,0.8700127846002255,0.8777822217564362
full_no_covid,19,lchol_r,1.4055688318412947,0.8700127846002255,0.8777822217564362
full_no_covid,20,txsa_r,1.3777376711824219,0.8700127846002255,0.8777822217564362
