period,final_rsf_selected_n_features,final_rsf_selected_cindex_td,final_rsf_selected_cindex_ti,final_catboost_selected_n_features,final_catboost_selected_cindex_td,final_catboost_selected_cindex_ti,final_aorsf_selected_n_features,final_aorsf_selected_cindex_td,final_aorsf_selected_cindex_ti,final_rsf_all_n_features,final_rsf_all_cindex_td,final_rsf_all_cindex_ti,final_catboost_all_n_features,final_catboost_all_cindex_td,final_catboost_all_cindex_ti,final_aorsf_all_n_features,final_aorsf_all_cindex_td,final_aorsf_all_cindex_ti
original,6,0.8958,0.7302,7,0.8359,0.86240000000000006,3,0.6989,0.6109,15,0.979,0.8159,15,0.8548,0.8718,15,0.9682,0.8186
full,7,0.9522,0.8094,5,0.7051,0.7319,6,0.8373,0.7299,15,0.9819,0.8489,15,0.7849,0.793,15,0.9622,0.8353
full_no_covid,7,0.9015,0.73740000000000006,7,0.8314,0.8514,3,0.6983,0.6118,15,0.9803,0.8214,15,0.8509,0.8603,15,0.9703,0.8203
