feature,importance,cindex
weight_txpl,14.208332217475178,0.8602871570680293
bmi_txpl,13.999976467957932,0.8602871570680293
egfr_tx,12.23498283244838,0.8602871570680293
txalt,11.671047125269029,0.8602871570680293
txbun_r,11.513471869934728,0.8602871570680293
txsa_r,9.296730223220132,0.8602871570680293
listing_year,8.405552271107386,0.8602871570680293
txpl_year,8.250685819829442,0.8602871570680293
pra_listing,4.187728078604947,0.8602871570680293
hxsurg,2.1026109647127815,0.8602871570680293
hxmed,1.9575750760602328,0.8602871570680293
chd_sv,0.9620316507882628,0.8602871570680293
prim_dx,0.6345900120784462,0.8602871570680293
txecmo,0.5746853905131237,0.8602871570680293
tx_mcsd,0,0.8602871570680293
