feature,importance,cindex_td,cindex_ti
chd_hlh,9.682266208417836e-4,0.7618129886819126,0.6414826683762904
cpbypass,0.005004094038516436,0.7618129886819126,0.6414826683762904
donor_age,6.225143342523288e-4,0.7618129886819126,0.6414826683762904
height_donor,6.050869095780908e-4,0.7618129886819126,0.6414826683762904
height_txpl,4.8495806611122876e-4,0.7618129886819126,0.6414826683762904
hxrenins,5.26858839185694e-4,0.7618129886819126,0.6414826683762904
hxsurg,0.0020022791246050212,0.7618129886819126,0.6414826683762904
lbun_r,6.29606877532774e-4,0.7618129886819126,0.6414826683762904
lsbaosat,0.0014998632510837707,0.7618129886819126,0.6414826683762904
lsfprab,0.0011819169936080562,0.7618129886819126,0.6414826683762904
lsfprat,7.744461948673253e-4,0.7618129886819126,0.6414826683762904
ltg_r,5.407475522610633e-4,0.7618129886819126,0.6414826683762904
prim_dx,0.004227269595898845,0.7618129886819126,0.6414826683762904
rec_t3,0.0011295497858950843,0.7618129886819126,0.6414826683762904
txaboinc,6.62708953817238e-4,0.7618129886819126,0.6414826683762904
txbaosat,6.078285011186903e-4,0.7618129886819126,0.6414826683762904
txbun_r,6.040922871563394e-4,0.7618129886819126,0.6414826683762904
txecmo,0.003212818241819644,0.7618129886819126,0.6414826683762904
txtdsxm,5.951203439758964e-4,0.7618129886819126,0.6414826683762904
txvent,4.791149102082449e-4,0.7618129886819126,0.6414826683762904
