feature,importance,cindex
prim_dx,0.01664639557817348,0.8143376588892839
txecmo,0.009335209938596524,0.8143376588892839
hxsurg,0.008342768876514558,0.8143376588892839
txbun_r,0.007288264967030401,0.8143376588892839
txalt,0.00472835329293524,0.8143376588892839
txpl_year,0.003429265906582617,0.8143376588892839
hxmed,0.0025607933029299624,0.8143376588892839
listing_year,0.0024731966241034868,0.8143376588892839
weight_txpl,0.0019543553694934025,0.8143376588892839
pra_listing,0.001490127667036268,0.8143376588892839
bmi_txpl,0.0010443686767653273,0.8143376588892839
txsa_r,9.372557757869038e-4,0.8143376588892839
egfr_tx,1.664806469612943e-4,0.8143376588892839
tx_mcsd,0,0.8143376588892839
chd_sv,-0.001567198967484544,0.8143376588892839
