period,method,cindex_td_mean,cindex_td_sd,cindex_td_ci_lower,cindex_td_ci_upper,cindex_ti_mean,cindex_ti_sd,cindex_ti_ci_lower,cindex_ti_ci_upper,n_splits
original,RSF,0.7460244703381,0.02498357497816773,0.7022743955947799,0.7943032981663468,0.6329334349375013,0.01804059309570711,0.5988946753834137,0.6636531977947492,100
original,CatBoost,0.464111746108599,0.035248556155869866,0.39250147552315484,0.5278404277784423,0.483963047459534,0.01802439949507584,0.44839746847375994,0.5194709369513906,100
original,AORSF,0.7190494314834395,0.025854487543964133,0.6748260028160206,0.7705410360711273,0.6170616232964891,0.0178197119455107,0.5841315323256737,0.6524268525562396,100
full,RSF,0.7588235154317752,0.01950303121871441,0.7224036754900283,0.7900677277554029,0.661565258306485,0.01446852019820804,0.6351635460524077,0.6928400261313901,100
full,CatBoost,0.48264977105396745,0.03682282569332898,0.4251495992460741,0.5687198455723814,0.48403346249714413,0.0233957624179375,0.44009656676808073,0.5326129597101787,100
full,AORSF,0.7378103168750458,0.020969223626336103,0.6933669658492169,0.7785361985443582,0.6460843271759796,0.01531386108454332,0.6219507433274499,0.6829251188387266,100
full_no_covid,RSF,0.7447207234141129,0.024019034860323283,0.6996226412081336,0.7902790452471489,0.6363791078756441,0.017442710547016137,0.6004568024962773,0.671852627203189,100
full_no_covid,CatBoost,0.4720834848902481,0.03570293130667512,0.4109050434201994,0.5431985898780191,0.4869760054364132,0.019999467483688957,0.4438912069976147,0.5205939809991953,100
full_no_covid,AORSF,0.7228470323434605,0.026805606085954836,0.6639770718581739,0.7747684350458566,0.6208537492488108,0.01638191429957942,0.5879054564913269,0.6522804660840662,100
