feature,importance,cindex
prim_dx,0.015561560363828122,0.81839636059536
txecmo,0.008458924937875993,0.81839636059536
hxsurg,0.007538847221456716,0.81839636059536
txbun_r,0.00662127392357025,0.81839636059536
txalt,0.004932861134186832,0.81839636059536
txpl_year,0.004237234360128493,0.81839636059536
listing_year,0.0034790268472587866,0.81839636059536
weight_txpl,0.0024495817968322128,0.81839636059536
hxmed,0.0024216728578124068,0.81839636059536
bmi_txpl,0.0012692575471157997,0.81839636059536
pra_listing,0.001018287131111148,0.81839636059536
txsa_r,7.755505171185205e-4,0.81839636059536
egfr_tx,5.150973374254502e-4,0.81839636059536
tx_mcsd,0,0.81839636059536
chd_sv,-8.743440850764048e-4,0.81839636059536
