feature,importance,cindex_td,cindex_ti
chd_hlh,0.0012606485890838406,0.7474520509529821,0.6426323075238753
cpbypass,0.00458298209763489,0.7474520509529821,0.6426323075238753
dlist,0.002739479227579305,0.7474520509529821,0.6426323075238753
hxple,6.042044276756059e-4,0.7474520509529821,0.6426323075238753
hxrenins,5.972312102035321e-4,0.7474520509529821,0.6426323075238753
hxsurg,0.002083769488820569,0.7474520509529821,0.6426323075238753
lbun_r,5.582226777657009e-4,0.7474520509529821,0.6426323075238753
lsbaosat,0.0014916612633491624,0.7474520509529821,0.6426323075238753
lsfprab,5.701252903325103e-4,0.7474520509529821,0.6426323075238753
lsfprat,6.586311735139859e-4,0.7474520509529821,0.6426323075238753
prim_dx,0.002587359870202215,0.7474520509529821,0.6426323075238753
rrace_b,6.86081421481169e-4,0.7474520509529821,0.6426323075238753
sec_dx,5.498540840720642e-4,0.7474520509529821,0.6426323075238753
txaboinc,8.985924510515992e-4,0.7474520509529821,0.6426323075238753
txbaosat,6.69478195420362e-4,0.7474520509529821,0.6426323075238753
txbun_r,6.873208274568824e-4,0.7474520509529821,0.6426323075238753
txecmo,0.0023452766800081885,0.7474520509529821,0.6426323075238753
txpl_year,8.218518598931916e-4,0.7474520509529821,0.6426323075238753
txsa_r,6.308161279014736e-4,0.7474520509529821,0.6426323075238753
txvent,6.884627948188657e-4,0.7474520509529821,0.6426323075238753
