feature,importance,cindex_td,cindex_ti
age_listing,4.208497796595871e-4,0.7190494314834395,0.6170616232964891
chd_hlh,0.0014192037816489473,0.7190494314834395,0.6170616232964891
hxple,5.483171721591185e-4,0.7190494314834395,0.6170616232964891
hxrenins,5.906842059667439e-4,0.7190494314834395,0.6170616232964891
hxsurg,0.002058814346867552,0.7190494314834395,0.6170616232964891
lbun_r,6.098379541338524e-4,0.7190494314834395,0.6170616232964891
lsbaosat,0.0014132424912766575,0.7190494314834395,0.6170616232964891
lsfprab,6.681830367656234e-4,0.7190494314834395,0.6170616232964891
lsfprat,6.708543265932888e-4,0.7190494314834395,0.6170616232964891
ltg_r,4.192604614671129e-4,0.7190494314834395,0.6170616232964891
prim_dx,0.003035595191240112,0.7190494314834395,0.6170616232964891
rec_t3,6.584494947880747e-4,0.7190494314834395,0.6170616232964891
sec_dx,5.966264877403542e-4,0.7190494314834395,0.6170616232964891
ter_dx,4.113825349871903e-4,0.7190494314834395,0.6170616232964891
txaboinc,0.00079179971886151365,0.7190494314834395,0.6170616232964891
txbaosat,5.629535437646989e-4,0.7190494314834395,0.6170616232964891
txbun_r,7.327848488508175e-4,0.7190494314834395,0.6170616232964891
txecmo,0.002322804103497773,0.7190494314834395,0.6170616232964891
txsa_r,6.242513167185897e-4,0.7190494314834395,0.6170616232964891
txvent,7.875137314614099e-4,0.7190494314834395,0.6170616232964891
