feature,importance,cindex
weight_txpl,13.218871043591069,0.7951630656263563
bmi_txpl,13.185887878824683,0.7951630656263563
txpl_year,12.080711129936722,0.7951630656263563
egfr_tx,11.190094762930306,0.7951630656263563
txbun_r,10.92928104242002,0.7951630656263563
listing_year,10.543943832981483,0.7951630656263563
txalt,10.418973757301659,0.7951630656263563
txsa_r,7.983803005720898,0.7951630656263563
pra_listing,3.7061937757723427,0.7951630656263563
hxmed,1.972127423835394,0.7951630656263563
prim_dx,1.900924498788348,0.7951630656263563
hxsurg,1.581332189748752,0.7951630656263563
chd_sv,0.7371855559750988,0.7951630656263563
txecmo,0.5506701021732532,0.7951630656263563
tx_mcsd,0,0.7951630656263563
