feature,importance,cindex_td,cindex_ti
dlist,0.008756797516254572,0.9981910194882939,0.8829049375172562
cpbypass,0.005459553507373444,0.9981910194882939,0.8829049375172562
prim_dx,0.005296647989473925,0.9981910194882939,0.8829049375172562
sec_dx,0.003546220574146357,0.9981910194882939,0.8829049375172562
txecmo,0.002725907742540943,0.9981910194882939,0.8829049375172562
prm_list,0.0018107420012385934,0.9981910194882939,0.8829049375172562
lsbaosat,0.0016647052238386308,0.9981910194882939,0.8829049375172562
hxsurg,0.0016147683295655694,0.9981910194882939,0.8829049375172562
txbun_r,0.001482638616010563,0.9981910194882939,0.8829049375172562
txtdsxm,0.0014005995859984576,0.9981910194882939,0.8829049375172562
lsfprat,0.0013653104787750751,0.9981910194882939,0.8829049375172562
lbun_r,0.0012293357167674646,0.9981910194882939,0.8829049375172562
chd_hlh,0.0011234241192064067,0.9981910194882939,0.8829049375172562
txtcdc,0.001025484186223311,0.9981910194882939,0.8829049375172562
pra_listing,0.001000768367142412,0.9981910194882939,0.8829049375172562
txbaosat,9.132294763091271e-4,0.9981910194882939,0.8829049375172562
txbcdc,8.603333177537027e-4,0.9981910194882939,0.8829049375172562
rec_t3,8.337375391998803e-4,0.9981910194882939,0.8829049375172562
weight_txpl,7.790050312102059e-4,0.9981910194882939,0.8829049375172562
listing_year,7.629886485545871e-4,0.9981910194882939,0.8829049375172562
