feature,importance,cindex
prim_dx,0.019500570820852537,0.8478307642656258
txecmo,0.007524101084928295,0.8478307642656258
txbun_r,0.007465639001886181,0.8478307642656258
hxsurg,0.007329747449987695,0.8478307642656258
weight_txpl,0.004091581322771517,0.8478307642656258
hxmed,0.0034484909065897835,0.8478307642656258
listing_year,0.0030592378098524163,0.8478307642656258
pra_listing,0.002978958063011114,0.8478307642656258
txsa_r,0.0028331674149825368,0.8478307642656258
txpl_year,0.002808690013000401,0.8478307642656258
txalt,0.0024812669867664903,0.8478307642656258
bmi_txpl,0.0016640645024142038,0.8478307642656258
egfr_tx,0.0013441249452121045,0.8478307642656258
tx_mcsd,0,0.8478307642656258
chd_sv,-0.001291815759895055,0.8478307642656258
