feature,importance,cindex_td,cindex_ti
chd_hlh,9.323248600815611e-4,0.7775055423601169,0.6633844512386426
cpbypass,0.004749084394117943,0.7775055423601169,0.6633844512386426
dlist,0.008122633387221346,0.7775055423601169,0.6633844512386426
donor_age,5.913381159453275e-4,0.7775055423601169,0.6633844512386426
height_donor,5.642833650545158e-4,0.7775055423601169,0.6633844512386426
height_txpl,5.100355721882291e-4,0.7775055423601169,0.6633844512386426
hxsurg,0.002082211571312273,0.7775055423601169,0.6633844512386426
lbun_r,6.058228059492513e-4,0.7775055423601169,0.6633844512386426
lsbaosat,0.0013206156267926183,0.7775055423601169,0.6633844512386426
lsfprab,0.001063258600815045,0.7775055423601169,0.6633844512386426
lsfprat,6.343749023550771e-4,0.7775055423601169,0.6633844512386426
ltg_r,4.899482362122958e-4,0.7775055423601169,0.6633844512386426
prim_dx,0.00421145659453852,0.7775055423601169,0.6633844512386426
rec_t3,9.409910324780617e-4,0.7775055423601169,0.6633844512386426
txaboinc,5.855354824819107e-4,0.7775055423601169,0.6633844512386426
txbaosat,5.116737286909303e-4,0.7775055423601169,0.6633844512386426
txbun_r,6.049930428233615e-4,0.7775055423601169,0.6633844512386426
txecmo,0.0034222049862568074,0.7775055423601169,0.6633844512386426
txpl_year,9.197951343239751e-4,0.7775055423601169,0.6633844512386426
txtdsxm,5.881538735514428e-4,0.7775055423601169,0.6633844512386426
