feature,importance,Cohort,Model
lsfprat,0.014758419279822426,MyoCardio,XGBoost
hxrenins,0.011267489802345345,MyoCardio,XGBoost
txfcpraNot Done,0.009457975637253521,MyoCardio,XGBoost
slvad,0.008568250002175811,MyoCardio,XGBoost
hxfail,0.008045183234587444,MyoCardio,XGBoost
txvent,0.007753614953056698,MyoCardio,XGBoost
slecmo,0.006904885278314559,MyoCardio,XGBoost
hxshock,0.006102652323271605,MyoCardio,XGBoost
hxsurg,0.0059505888517056215,MyoCardio,XGBoost
txpalb_r,0.005636839068910448,MyoCardio,XGBoost
"hxdysdiaDysfunction, not dialysis",0.005522591463341255,MyoCardio,XGBoost
slvent,0.004633205114921218,MyoCardio,XGBoost
hxcpr,0.003593755325867077,MyoCardio,XGBoost
hlatxpre,0.0030771244754973564,MyoCardio,XGBoost
"hxdysdiaDialysis, acute (within past 30 days)",0.0012283452126567555,MyoCardio,XGBoost
age_listing,0.14554602751986073,MyoCardio,XGBoost_RF
age_txpl,0.09183987837802367,MyoCardio,XGBoost_RF
txalt,0.06879929926771167,MyoCardio,XGBoost_RF
slnomcsd,0.06723579671990806,MyoCardio,XGBoost_RF
txsa_r,0.06663924781244634,MyoCardio,XGBoost_RF
txcreat_r,0.0660285781523872,MyoCardio,XGBoost_RF
egfr_tx,0.06369550114626472,MyoCardio,XGBoost_RF
weight_txpl,0.05706366704176925,MyoCardio,XGBoost_RF
txast,0.052296960484878655,MyoCardio,XGBoost_RF
txbili_t_r,0.050293588692217193,MyoCardio,XGBoost_RF
height_txpl,0.04765054191226375,MyoCardio,XGBoost_RF
bmi_txpl,0.04451090035814377,MyoCardio,XGBoost_RF
txtp_r,0.03959950828760527,MyoCardio,XGBoost_RF
txvad,0.037834656571973234,MyoCardio,XGBoost_RF
lsfcpraNot Done,0.015057197668886116,MyoCardio,XGBoost_RF
txbili_d_r,0.012284427321562992,MyoCardio,XGBoost_RF
lsfprat,0.011664748016257085,MyoCardio,XGBoost_RF
hxfail,0.011525405416880114,MyoCardio,XGBoost_RF
slvad,0.00944213438679183,MyoCardio,XGBoost_RF
txfcpraNot Done,0.005738980102555518,MyoCardio,XGBoost_RF
slecmo,0.0050759276959868385,MyoCardio,XGBoost_RF
slvent,0.004657088036626282,MyoCardio,XGBoost_RF
hxrenins,0.004208487736338304,MyoCardio,XGBoost_RF
txvent,0.0042065091566927375,MyoCardio,XGBoost_RF
hxshock,0.004025515549591757,MyoCardio,XGBoost_RF
txpalb_r,0.0028819242314673454,MyoCardio,XGBoost_RF
hxsurg,0.002662978470527684,MyoCardio,XGBoost_RF
txecmo,0.0026627144779138197,MyoCardio,XGBoost_RF
hxcpr,0.0020560607479715586,MyoCardio,XGBoost_RF
hlatxpre,0.0018367335320300623,MyoCardio,XGBoost_RF
"hxdysdiaDialysis, acute (within past 30 days)",0.0010626236581999361,MyoCardio,XGBoost_RF
"hxdysdiaDysfunction, not dialysis",2.491923055274042e-4,MyoCardio,XGBoost_RF
donspac,1.2134264206948729e-4,MyoCardio,XGBoost_RF
