feature,importance,Model,Cohort
donor_age,56.22891,DeepSurv (pycox),Full Dataset
chd_mstn,56.158863,DeepSurv (pycox),Full Dataset
chd_pa,56.004784,DeepSurv (pycox),Full Dataset
chd_aa,55.828724,DeepSurv (pycox),Full Dataset
txmilrin,55.749718,DeepSurv (pycox),Full Dataset
txdopa,55.669895,DeepSurv (pycox),Full Dataset
hxresp,55.611168,DeepSurv (pycox),Full Dataset
chd_heter,55.555138,DeepSurv (pycox),Full Dataset
txcntry,55.53143,DeepSurv (pycox),Full Dataset
bicaval,55.490284,DeepSurv (pycox),Full Dataset
dhxinsul,55.4563,DeepSurv (pycox),Full Dataset
lscntry,55.370697,DeepSurv (pycox),Full Dataset
injdrugs,55.099667,DeepSurv (pycox),Full Dataset
lstp_r,55.031662,DeepSurv (pycox),Full Dataset
txcreat_r,54.998768,DeepSurv (pycox),Full Dataset
incarctn,54.804558,DeepSurv (pycox),Full Dataset
mitreg,54.607418,DeepSurv (pycox),Full Dataset
slinods,53.73258,DeepSurv (pycox),Full Dataset
chd_ar,53.17923,DeepSurv (pycox),Full Dataset
lsnitrop,53.026516,DeepSurv (pycox),Full Dataset
chd_iivc,52.8132,DeepSurv (pycox),Full Dataset
chd_dolv,52.693623,DeepSurv (pycox),Full Dataset
tdsaunk,52.660828,DeepSurv (pycox),Full Dataset
txepine,52.580345,DeepSurv (pycox),Full Dataset
drpr,52.49662,DeepSurv (pycox),Full Dataset
dhbsab,52.486893,DeepSurv (pycox),Full Dataset
dhbsag,52.033237,DeepSurv (pycox),Full Dataset
hemdilut,51.898964,DeepSurv (pycox),Full Dataset
hxpermyo,51.863026,DeepSurv (pycox),Full Dataset
chd_hb,51.823025,DeepSurv (pycox),Full Dataset
txdobut,51.781586,DeepSurv (pycox),Full Dataset
statlist,51.774994,DeepSurv (pycox),Full Dataset
hxplyspl,51.71143,DeepSurv (pycox),Full Dataset
hxtrach,51.68332,DeepSurv (pycox),Full Dataset
chd_raa,51.664722,DeepSurv (pycox),Full Dataset
dwma,51.52421,DeepSurv (pycox),Full Dataset
lspalb_r,51.07692,DeepSurv (pycox),Full Dataset
lsvaso,50.71831,DeepSurv (pycox),Full Dataset
chd_pspl,50.50824,DeepSurv (pycox),Full Dataset
chd_mr,50.164577,DeepSurv (pycox),Full Dataset
weight_txpl,50.08849,DeepSurv (pycox),Full Dataset
hxlymleu,50.08519,DeepSurv (pycox),Full Dataset
hxspbmt,49.860115,DeepSurv (pycox),Full Dataset
trireg,49.492645,DeepSurv (pycox),Full Dataset
fwma,49.38743,DeepSurv (pycox),Full Dataset
txvasopr,49.382313,DeepSurv (pycox),Full Dataset
height_donor,49.20644,DeepSurv (pycox),Full Dataset
lsnitro,48.897663,DeepSurv (pycox),Full Dataset
txbdsxn,48.882423,DeepSurv (pycox),Full Dataset
txbrs,48.801434,DeepSurv (pycox),Full Dataset
prm_list,48.74283,DeepSurv (pycox),Full Dataset
atrskshs,48.581493,DeepSurv (pycox),Full Dataset
efindunk,48.451538,DeepSurv (pycox),Full Dataset
dhcab,48.06036,DeepSurv (pycox),Full Dataset
txhemagt,47.98353,DeepSurv (pycox),Full Dataset
chd_alcapa,47.88494,DeepSurv (pycox),Full Dataset
txbcdc,47.796776,DeepSurv (pycox),Full Dataset
hxrespun,47.73127,DeepSurv (pycox),Full Dataset
dhiv,46.67685,DeepSurv (pycox),Full Dataset
hxbeckmd,46.55367,DeepSurv (pycox),Full Dataset
txpge,46.288574,DeepSurv (pycox),Full Dataset
hxisousp,46.134377,DeepSurv (pycox),Full Dataset
weight_listing,46.125343,DeepSurv (pycox),Full Dataset
hxdiab,45.946262,DeepSurv (pycox),Full Dataset
hxmarfns,45.77703,DeepSurv (pycox),Full Dataset
hxturner,45.683254,DeepSurv (pycox),Full Dataset
hxmit,44.742355,DeepSurv (pycox),Full Dataset
hxspcrad,44.710728,DeepSurv (pycox),Full Dataset
primels,44.577263,DeepSurv (pycox),Full Dataset
rpr,44.55964,DeepSurv (pycox),Full Dataset
hxasplen,44.35707,DeepSurv (pycox),Full Dataset
hxdowns,44.35556,DeepSurv (pycox),Full Dataset
txisupro,44.114727,DeepSurv (pycox),Full Dataset
drisk,44.07444,DeepSurv (pycox),Full Dataset
chd_si,44.00064,DeepSurv (pycox),Full Dataset
cancpro,43.097855,DeepSurv (pycox),Full Dataset
hxsolorg,42.704556,DeepSurv (pycox),Full Dataset
hxsyn_u,42.47737,DeepSurv (pycox),Full Dataset
hxdmd,42.433434,DeepSurv (pycox),Full Dataset
age_listing,42.292744,DeepSurv (pycox),Full Dataset
height_listing,42.24408,DeepSurv (pycox),Full Dataset
hxdigorg,42.092396,DeepSurv (pycox),Full Dataset
permunk,42.015957,DeepSurv (pycox),Full Dataset
hgbvalue,41.87831,DeepSurv (pycox),Full Dataset
hxisoth,41.873924,DeepSurv (pycox),Full Dataset
lsphen,41.796577,DeepSurv (pycox),Full Dataset
txicu,41.747593,DeepSurv (pycox),Full Dataset
dhbcab,41.687767,DeepSurv (pycox),Full Dataset
hxmitty,41.457016,DeepSurv (pycox),Full Dataset
chd_avd,41.326714,DeepSurv (pycox),Full Dataset
age_txpl,40.99903,DeepSurv (pycox),Full Dataset
txtcdc,40.836014,DeepSurv (pycox),Full Dataset
chd_lsvc,40.707664,DeepSurv (pycox),Full Dataset
canlocpr,40.44435,DeepSurv (pycox),Full Dataset
ptlt18,40.34646,DeepSurv (pycox),Full Dataset
hxiso,40.240955,DeepSurv (pycox),Full Dataset
lsnorepi,40.19852,DeepSurv (pycox),Full Dataset
txnorepi,40.18805,DeepSurv (pycox),Full Dataset
chd_mart,40.13833,DeepSurv (pycox),Full Dataset
height_txpl,40.0471,DeepSurv (pycox),Full Dataset
hiscanc,39.85422,DeepSurv (pycox),Full Dataset
hxinsul,39.792164,DeepSurv (pycox),Full Dataset
riskunk,39.148754,DeepSurv (pycox),Full Dataset
chd_unk,38.93637,DeepSurv (pycox),Full Dataset
hiv,38.731503,DeepSurv (pycox),Full Dataset
txphneo,38.558174,DeepSurv (pycox),Full Dataset
ttrmax,38.03269,DeepSurv (pycox),Full Dataset
chd_papvr,36.47705,DeepSurv (pycox),Full Dataset
hxnoonan,36.25428,DeepSurv (pycox),Full Dataset
hxcrd,35.882942,DeepSurv (pycox),Full Dataset
dptxnorm,35.64778,DeepSurv (pycox),Full Dataset
weight_donor,35.05142,DeepSurv (pycox),Full Dataset
hxwillim,34.88578,DeepSurv (pycox),Full Dataset
hxhep,34.587227,DeepSurv (pycox),Full Dataset
txhnes,33.236034,DeepSurv (pycox),Full Dataset
lspgi,32.771114,DeepSurv (pycox),Full Dataset
canlocsp,32.219006,DeepSurv (pycox),Full Dataset
lsunkn,31.42283,DeepSurv (pycox),Full Dataset
hxheptyc,30.93808,DeepSurv (pycox),Full Dataset
lshnes,30.612764,DeepSurv (pycox),Full Dataset
txpgi,30.384378,DeepSurv (pycox),Full Dataset
.ev_time_replacedTRUE,29.320478,DeepSurv (pycox),Full Dataset
.ev_time_replacedFALSE,27.675262,DeepSurv (pycox),Full Dataset
