iter	Passed	Remaining
401	17672	26289
402	17711	26237
403	17753	26190
404	17795	26144
405	17837	26096
406	17878	26049
407	17916	25996
408	17954	25943
409	17993	25893
410	18033	25844
411	18071	25790
412	18109	25738
413	18146	25685
414	18182	25630
415	18225	25585
416	18262	25532
417	18301	25482
418	18339	25430
419	18379	25381
420	18417	25328
421	18456	25279
422	18492	25225
423	18529	25172
424	18567	25121
425	18604	25068
426	18644	25019
427	18681	24967
428	18725	24923
429	18762	24871
430	18799	24818
431	18838	24769
432	18874	24715
433	18910	24662
434	18947	24609
435	18985	24559
436	19031	24518
437	19075	24475
438	19116	24429
439	19174	24403
440	19218	24360
441	19290	24353
442	19330	24305
443	19370	24257
444	19410	24208
445	19451	24161
446	19490	24112
447	19528	24061
448	19568	24013
449	19634	23997
450	19680	23956
451	19722	23910
452	19767	23869
453	19806	23819
454	19847	23772
455	19885	23723
456	19924	23673
457	19962	23624
458	20006	23580
459	20044	23530
460	20081	23479
461	20119	23429
462	20157	23379
463	20194	23327
464	20232	23278
465	20270	23228
466	20313	23183
467	20351	23134
468	20392	23088
469	20432	23041
470	20469	22989
471	20507	22940
472	20556	22903
473	20592	22851
474	20629	22801
475	20667	22751
476	20703	22699
477	20746	22655
478	20791	22614
479	20831	22567
480	20868	22517
481	20909	22471
482	20958	22434
483	20997	22386
484	21040	22342
485	21082	22296
486	21120	22248
487	21175	22217
488	21218	22173
489	21256	22123
490	21305	22086
491	21364	22059
492	21415	22024
493	21458	21979
494	21496	21931
495	21535	21882
496	21580	21840
497	21617	21791
498	21658	21745
499	21698	21698
500	21736	21649
501	21785	21612
502	21832	21572
503	21880	21533
504	21917	21483
505	21958	21438
506	21996	21389
507	22037	21343
508	22078	21298
509	22116	21249
510	22153	21200
511	22190	21150
512	22227	21100
513	22266	21053
514	22303	21004
515	22355	20968
516	22395	20922
517	22442	20882
518	22484	20838
519	22521	20789
520	22558	20740
521	22617	20711
522	22655	20662
523	22714	20633
524	22750	20584
525	22787	20534
526	22827	20488
527	22867	20442
528	22913	20401
529	22960	20361
530	22998	20313
531	23052	20279
532	23090	20231
533	23128	20183
534	23169	20137
535	23218	20099
536	23264	20058
537	23308	20015
538	23349	19970
539	23392	19927
540	23435	19883
541	23529	19883
542	23572	19838
543	23628	19806
544	23672	19763
545	23713	19717
546	23757	19675
547	23799	19630
548	23837	19582
549	23892	19548
550	23934	19503
551	23977	19459
552	24019	19415
553	24061	19370
554	24101	19324
555	24159	19292
556	24195	19243
557	24241	19202
558	24280	19154
559	24328	19115
560	24367	19068
561	24404	19019
562	24440	18970
563	24482	18926
564	24525	18882
565	24567	18838
566	24608	18792
567	24651	18749
568	24694	18704
569	24735	18660
570	24780	18617
571	24820	18572
572	24860	18526
573	24901	18480
574	24943	18436
575	24984	18391
576	25039	18356
577	25081	18312
578	25123	18268
579	25164	18222
580	25205	18177
581	25245	18131
582	25286	18086
583	25327	18041
584	25376	18002
585	25416	17956
586	25457	17911
587	25509	17873
588	25565	17839
589	25608	17795
590	25670	17764
591	25713	17721
592	25755	17676
593	25799	17633
594	25844	17591
595	25888	17548
596	25937	17508
597	25978	17464
598	26024	17421
599	26074	17382
600	26115	17337
601	26155	17292
602	26197	17247
603	26239	17203
604	26286	17162
605	26328	17117
606	26373	17075
607	26415	17031
608	26455	16985
609	26496	16940
610	26535	16894
611	26581	16852
612	26627	16810
613	26667	16765
614	26709	16720
615	26751	16676
616	26791	16630
617	26854	16599
618	26911	16564
619	26962	16525
620	27004	16481
621	27047	16437
622	27097	16397
623	27136	16351
624	27179	16307
625	27220	16262
626	27264	16219
627	27303	16173
628	27343	16128
629	27384	16083
630	27433	16042
631	27475	15998
632	27516	15953
633	27559	15909
634	27599	15864
635	27641	15820
636	27692	15780
637	27766	15754
638	27821	15717
639	27869	15676
640	27923	15638
641	27962	15592
642	28007	15550
643	28048	15505
644	28103	15467
645	28143	15422
646	28185	15377
647	28227	15333
648	28279	15294
649	28332	15256
650	28373	15210
651	28413	15165
652	28454	15120
653	28493	15074
654	28534	15029
655	28576	14985
656	28637	14950
657	28676	14904
658	28735	14868
659	28776	14824
660	28817	14779
661	28859	14735
662	28900	14690
663	28950	14649
664	28990	14604
665	29030	14558
666	29073	14514
667	29115	14470
668	29156	14425
669	29203	14383
670	29244	14339
671	29284	14293
672	29332	14251
673	29375	14208
674	29431	14170
675	29481	14130
676	29524	14086
677	29565	14041
678	29607	13997
679	29647	13951
680	29687	13906
681	29729	13862
682	29768	13816
683	29830	13781
684	29887	13743
685	29962	13714
686	30003	13669
687	30045	13625
688	30099	13586
689	30145	13543
690	30186	13498
691	30235	13457
692	30294	13420
693	30335	13375
694	30381	13332
695	30424	13288
696	30467	13244
697	30508	13200
698	30552	13156
699	30598	13113
700	30642	13069
701	30683	13025
702	30728	12981
703	30771	12937
704	30816	12894
705	30861	12851
706	30905	12807
707	30947	12763
708	30991	12720
709	31032	12675
710	31075	12631
711	31118	12587
712	31161	12543
713	31225	12507
714	31267	12463
715	31334	12428
716	31378	12385
717	31422	12341
718	31481	12303
719	31522	12258
720	31563	12213
721	31606	12169
722	31656	12128
723	31742	12100
724	31828	12072
725	31906	12041
726	31980	12009
727	32090	11989
728	32135	11946
729	32192	11906
730	32240	11864
731	32300	11825
732	32348	11782
733	32393	11739
734	32437	11695
735	32477	11649
736	32519	11604
737	32558	11558
738	32601	11514
739	32642	11468
740	32683	11423
741	32728	11379
742	32770	11335
743	32812	11290
744	32860	11247
745	32902	11202
746	32945	11158
747	33008	11120
748	33054	11076
749	33097	11032
750	33156	10993
751	33222	10956
752	33280	10916
753	33335	10875
754	33392	10836
755	33439	10792
756	33487	10749
757	33536	10707
758	33602	10669
759	33659	10629
760	33707	10586
761	33752	10542
762	33795	10497
763	33839	10452
764	33883	10408
765	33926	10363
766	33967	10318
767	34011	10274
768	34053	10229
769	34133	10195
770	34218	10163
771	34264	10119
772	34305	10074
773	34348	10029
774	34390	9984
775	34436	9940
776	34481	9896
777	34523	9851
778	34561	9805
779	34600	9759
780	34642	9714
781	34685	9669
782	34724	9623
783	34790	9585
784	34833	9540
785	34876	9495
786	34919	9450
787	34958	9405
788	35001	9360
789	35045	9315
790	35094	9272
791	35136	9227
792	35177	9182
793	35227	9139
794	35267	9094
795	35310	9049
796	35351	9004
797	35392	8958
798	35434	8914
799	35480	8870
800	35526	8826
801	35570	8781
802	35613	8736
803	35660	8693
804	35702	8648
805	35743	8603
806	35785	8558
807	35828	8513
808	35871	8469
809	35912	8423
810	35958	8379
811	36005	8336
812	36049	8291
813	36090	8246
814	36131	8201
815	36173	8156
816	36215	8111
817	36257	8067
818	36309	8024
819	36366	7982
820	36408	7937
821	36448	7892
822	36491	7848
823	36531	7802
824	36573	7758
825	36615	7713
826	36658	7668
827	36720	7627
828	36774	7585
829	36827	7542
830	36874	7499
831	36926	7456
832	36970	7411
833	37012	7366
834	37056	7322
835	37115	7281
836	37157	7236
837	37201	7191
838	37244	7146
839	37289	7102
840	37334	7058
841	37376	7013
842	37420	6969
843	37478	6927
844	37523	6883
845	37569	6838
846	37610	6793
847	37653	6749
848	37699	6705
849	37742	6660
850	37788	6616
851	37832	6571
852	37875	6527
853	37931	6484
854	37981	6441
855	38030	6397
856	38094	6356
857	38135	6311
858	38179	6266
859	38221	6222
860	38265	6177
861	38311	6133
862	38358	6089
863	38409	6045
864	38493	6007
865	38538	5963
866	38587	5919
867	38630	5874
868	38689	5832
869	38733	5787
870	38776	5743
871	38818	5698
872	38861	5653
873	38903	5608
874	38947	5563
875	38992	5519
876	39035	5474
877	39080	5430
878	39122	5385
879	39165	5340
880	39211	5296
881	39256	5251
882	39298	5207
883	39352	5163
884	39393	5118
885	39435	5074
886	39476	5029
887	39518	4984
888	39560	4939
889	39604	4894
890	39646	4850
891	39689	4805
892	39735	4761
893	39778	4716
894	39823	4672
895	39870	4627
896	39910	4582
897	39953	4538
898	39998	4493
899	40040	4448
900	40083	4404
901	40128	4359
902	40184	4316
903	40228	4272
904	40285	4228
905	40328	4184
906	40371	4139
907	40417	4095
908	40465	4051
909	40519	4007
910	40594	3965
911	40638	3921
912	40690	3877
913	40737	3833
914	40780	3788
915	40822	3743
916	40863	3698
917	40908	3654
918	40953	3609
919	40996	3564
920	41038	3520
921	41080	3475
922	41121	3430
923	41164	3385
924	41217	3341
925	41261	3297
926	41309	3253
927	41360	3208
928	41405	3164
929	41450	3119
930	41493	3075
931	41537	3030
932	41581	2986
933	41625	2941
934	41668	2896
935	41714	2852
936	41764	2808
937	41816	2763
938	41891	2721
939	41946	2677
940	42012	2634
941	42060	2589
942	42109	2545
943	42153	2500
944	42199	2456
945	42256	2412
946	42335	2369
947	42411	2326
948	42459	2281
949	42503	2237
950	42549	2192
951	42596	2147
952	42644	2103
953	42696	2058
954	42775	2015
955	42819	1970
956	42868	1926
957	42918	1881
958	42986	1837
959	43027	1792
960	43075	1748
961	43134	1703
962	43180	1659
963	43226	1614
964	43271	1569
965	43314	1524
966	43364	1479
967	43410	1435
968	43456	1390
969	43502	1345
970	43545	1300
971	43593	1255
972	43639	1210
973	43685	1166
974	43727	1121
975	43789	1076
976	43856	1032
977	43901	987
978	43941	942
979	43985	897
980	44031	852
981	44071	807
982	44117	762
983	44165	718
984	44207	673
985	44252	628
986	44312	583
987	44352	538
988	44397	493
989	44447	448
990	44498	404
991	44540	359
992	44586	314
993	44630	269
994	44671	224
995	44720	179
996	44765	134
997	44815	89
998	44894	44
999	44935	0
