iter	Passed	Remaining
401	17026	67683
402	17066	67629
403	17104	67571
404	17143	67515
405	17185	67473
406	17226	67424
407	17264	67365
408	17305	67317
409	17345	67268
410	17388	67227
411	17430	67182
412	17472	67139
413	17513	67094
414	17552	67038
415	17592	66988
416	17633	66938
417	17679	66909
418	17719	66859
419	17761	66817
420	17854	66965
421	17895	66915
422	17934	66862
423	17987	66857
424	18027	66807
425	18067	66755
426	18106	66702
427	18144	66644
428	18185	66596
429	18224	66539
430	18266	66497
431	18308	66451
432	18360	66445
433	18428	66496
434	18483	66498
435	18527	66462
436	18576	66442
437	18617	66394
438	18661	66357
439	18705	66319
440	18747	66275
441	18792	66242
442	18834	66195
443	18876	66151
444	18919	66112
445	18966	66083
446	19010	66046
447	19054	66011
448	19101	65982
449	19145	65946
450	19187	65901
451	19223	65835
452	19261	65779
453	19302	65729
454	19343	65683
455	19383	65630
456	19426	65591
457	19466	65541
458	19505	65487
459	19549	65447
460	19588	65393
461	19632	65356
462	19670	65299
463	19713	65259
464	19756	65219
465	19797	65170
466	19846	65149
467	19886	65099
468	19934	65075
469	19977	65032
470	20072	65161
471	20110	65104
472	20168	65109
473	20209	65062
474	20247	65004
475	20287	64954
476	20326	64898
477	20368	64855
478	20408	64805
479	20448	64753
480	20489	64705
481	20533	64668
482	20573	64616
483	20616	64576
484	20656	64525
485	20700	64487
486	20742	64441
487	20780	64385
488	20827	64357
489	20869	64313
490	20914	64277
491	20955	64229
492	21006	64212
493	21046	64162
494	21086	64111
495	21128	64067
496	21168	64016
497	21213	63980
498	21259	63949
499	21299	63898
500	21356	63897
501	21398	63855
502	21443	63820
503	21485	63773
504	21523	63718
505	21563	63669
506	21603	63618
507	21644	63571
508	21683	63516
509	21724	63470
510	21765	63421
511	21806	63375
512	21845	63322
513	21887	63277
514	21927	63229
515	21971	63188
516	22010	63136
517	22049	63084
518	22089	63034
519	22129	62983
520	22180	62966
521	22246	62988
522	22288	62944
523	22329	62897
524	22368	62845
525	22412	62805
526	22451	62752
527	22492	62705
528	22534	62662
529	22573	62609
530	22614	62562
531	22652	62506
532	22694	62462
533	22733	62410
