Timestamp,Cohort,Model,N,Events,C_Index
2026-01-12 11:26:31,Combined,XGBoost,1168,188,0.428106
2026-01-12 11:26:33,Combined,AORSF,1168,188,0.345071
2026-01-12 11:27:10,Combined,CatBoost,1168,188,0.649224
2026-01-12 11:27:11,Combined,XGBoost,1168,188,0.411618
2026-01-12 11:27:13,Combined,AORSF,1168,188,0.316757
2026-01-12 11:27:52,Combined,CatBoost,1168,188,0.545466
2026-01-12 11:27:53,Combined,XGBoost,1168,188,0.468712
2026-01-12 11:27:56,Combined,AORSF,1168,188,0.408062
2026-01-12 11:28:34,Combined,CatBoost,1168,188,0.592246
2026-01-12 11:28:35,Combined,XGBoost,1168,188,0.421371
2026-01-12 11:28:38,Combined,AORSF,1168,188,0.387052
2026-01-12 11:29:10,Combined,CatBoost,1168,188,0.480356
2026-01-12 11:29:11,Combined,XGBoost,1168,188,0.44462
2026-01-12 11:29:14,Combined,AORSF,1168,188,0.336637
2026-01-12 11:29:56,Combined,CatBoost,1168,188,0.597355
2026-01-12 11:29:58,Combined,XGBoost,1168,188,0.435223
2026-01-12 11:30:01,Combined,AORSF,1168,188,0.329056
2026-01-12 11:30:33,Combined,CatBoost,1168,188,0.636313
2026-01-12 11:30:34,Combined,XGBoost,1168,188,0.450677
2026-01-12 11:30:38,Combined,AORSF,1168,188,0.347651
2026-01-12 11:31:16,Combined,CatBoost,1168,188,0.642615
2026-01-12 11:31:17,Combined,XGBoost,1168,188,0.434589
2026-01-12 11:31:21,Combined,AORSF,1168,188,0.337727
2026-01-12 11:54:49,Combined,RSF,1168,188,0.358672
2026-01-12 11:57:06,Combined,RSF,1168,188,0.356006
2026-01-12 11:57:41,Combined,RSF,1168,188,0.386777
2026-01-12 11:59:21,Combined,RSF,1168,188,0.387937
2026-01-12 11:59:25,Combined,RSF,1168,188,0.375305
2026-01-12 11:59:26,Combined,RSF,1168,188,0.393716
2026-01-12 11:59:47,Combined,RSF,1168,188,0.421514
2026-01-12 12:01:15,Combined,CatBoost,1168,188,0.550183
