feature,importance,cindex_td,cindex_ti
chd_hlh,9.545349994514609e-4,0.7673656194995568,0.6426556536327586
cpbypass,0.004930669879604393,0.7673656194995568,0.6426556536327586
donor_age,5.507349921677032e-4,0.7673656194995568,0.6426556536327586
durcarst,4.729869121453967e-4,0.7673656194995568,0.6426556536327586
height_donor,5.667721588761006e-4,0.7673656194995568,0.6426556536327586
height_txpl,4.887564060286155e-4,0.7673656194995568,0.6426556536327586
hxsurg,0.002100603073292535,0.7673656194995568,0.6426556536327586
lbun_r,6.098015759512693e-4,0.7673656194995568,0.6426556536327586
lsbaosat,0.0014293624430180292,0.7673656194995568,0.6426556536327586
lsfprab,0.0011020637123430506,0.7673656194995568,0.6426556536327586
lsfprat,7.593275318222524e-4,0.7673656194995568,0.6426556536327586
ltg_r,6.601134388134891e-4,0.7673656194995568,0.6426556536327586
primary_etiology,0.004432399146535873,0.7673656194995568,0.6426556536327586
rec_t3,0.0010676022529484033,0.7673656194995568,0.6426556536327586
sec_dx,4.883582928796655e-4,0.7673656194995568,0.6426556536327586
txaboinc,5.460817701166379e-4,0.7673656194995568,0.6426556536327586
txbaosat,5.823624659685837e-4,0.7673656194995568,0.6426556536327586
txbun_r,6.163253094907328e-4,0.7673656194995568,0.6426556536327586
txecmo,0.003460312038266871,0.7673656194995568,0.6426556536327586
txtdsxm,5.969472187284187e-4,0.7673656194995568,0.6426556536327586
