feature,importance,cindex_td,cindex_ti
age_listing,0.017768396712970338,0.686889833188132,0.3832853700620394
age_txpl,0.013183490182506455,0.686889833188132,0.3832853700620394
cpbypass,0.1426942162159644,0.686889833188132,0.3832853700620394
dhxnone,0.017828318499503087,0.686889833188132,0.3832853700620394
durcarst,0.023859536227060885,0.686889833188132,0.3832853700620394
height_donor,0.013383500426700102,0.686889833188132,0.3832853700620394
lbnp,0.025120694461824116,0.686889833188132,0.3832853700620394
lbun_r,0.02536409902667913,0.686889833188132,0.3832853700620394
lsalt,0.015973201419326545,0.686889833188132,0.3832853700620394
lssab_r,0.01348530874249313,0.686889833188132,0.3832853700620394
primary_etiologyCardiomyopathy,0.03980409632378432,0.686889833188132,0.3832853700620394
prm_listMedically refractory heart failure,0.03209204665667257,0.686889833188132,0.3832853700620394
txast,0.013174139044311304,0.686889833188132,0.3832853700620394
txbaosat,0.01637593818222814,0.686889833188132,0.3832853700620394
txbun_r,0.04047841106060957,0.686889833188132,0.3832853700620394
txdcd,0.014487950725768209,0.686889833188132,0.3832853700620394
txecmo,0.015350140444167354,0.686889833188132,0.3832853700620394
txnomcsd,0.012465164677573455,0.686889833188132,0.3832853700620394
txsa_r,0.021999948576529146,0.686889833188132,0.3832853700620394
txtcdcNot Done,0.015684094245371864,0.686889833188132,0.3832853700620394
