feature,importance,cindex_td,cindex_ti
age_listing,6.061974330189678e-4,0.77528463279355,0.6724289032403791
age_txpl,6.372432575311548e-4,0.77528463279355,0.6724289032403791
chd_hlh,0.0013596499991126879,0.77528463279355,0.6724289032403791
cpbypass,0.0060729541663636895,0.77528463279355,0.6724289032403791
height_donor,6.195473677707805e-4,0.77528463279355,0.6724289032403791
height_txpl,6.870707500240446e-4,0.77528463279355,0.6724289032403791
hxsurg,0.0018589657527624513,0.77528463279355,0.6724289032403791
lbun_r,7.168179187794439e-4,0.77528463279355,0.6724289032403791
lsbaosat,0.001558698009000818,0.77528463279355,0.6724289032403791
lsfprab,0.0011054211583240302,0.77528463279355,0.6724289032403791
lsfprat,0.0013469168688790907,0.77528463279355,0.6724289032403791
primary_etiology,0.004616713743324983,0.77528463279355,0.6724289032403791
rec_t3,8.726060350288333e-4,0.77528463279355,0.6724289032403791
txbaosat,9.781007266130154e-4,0.77528463279355,0.6724289032403791
txbun_r,0.0011302198526722143,0.77528463279355,0.6724289032403791
txecmo,0.0023777400396365342,0.77528463279355,0.6724289032403791
txsa_r,6.084411987115735e-4,0.77528463279355,0.6724289032403791
txtg_r,5.641957556582599e-4,0.77528463279355,0.6724289032403791
txvent,6.626349628831956e-4,0.77528463279355,0.6724289032403791
weight_donor,5.533436026001371e-4,0.77528463279355,0.6724289032403791
