feature,importance,cindex_td,cindex_ti
chd_hlh,0.0012128473372097273,0.7374591334002067,0.6260569794617408
cpbypass,0.004409109887084179,0.7374591334002067,0.6260569794617408
hxgiot,4.485939675384275e-4,0.7374591334002067,0.6260569794617408
hxple,4.8698244684975024e-4,0.7374591334002067,0.6260569794617408
hxrenins,6.209744680612397e-4,0.7374591334002067,0.6260569794617408
hxsurg,0.0019321122105655135,0.7374591334002067,0.6260569794617408
lbun_r,5.504883664582364e-4,0.7374591334002067,0.6260569794617408
lsbaosat,0.0013213583720273943,0.7374591334002067,0.6260569794617408
lsfprab,6.655619932040029e-4,0.7374591334002067,0.6260569794617408
lsfprat,6.948693812552324e-4,0.7374591334002067,0.6260569794617408
ltg_r,4.2050309564906465e-4,0.7374591334002067,0.6260569794617408
primary_etiology,0.002722392253045449,0.7374591334002067,0.6260569794617408
rec_t3,5.841911677431355e-4,0.7374591334002067,0.6260569794617408
sec_dx,5.893917434886087e-4,0.7374591334002067,0.6260569794617408
txaboinc,8.823136279751605e-4,0.7374591334002067,0.6260569794617408
txbaosat,6.110630988685234e-4,0.7374591334002067,0.6260569794617408
txbun_r,7.025197044859935e-4,0.7374591334002067,0.6260569794617408
txecmo,0.002295847375169716,0.7374591334002067,0.6260569794617408
txsa_r,5.910919724006049e-4,0.7374591334002067,0.6260569794617408
txvent,7.854542212469562e-4,0.7374591334002067,0.6260569794617408
