feature,importance,cindex_td,cindex_ti
age_listing,0.015586361430692083,0.6694304008339184,0.40395327074927606
age_txpl,0.01752014594476839,0.6694304008339184,0.40395327074927606
cpbypass,0.13783600777307886,0.6694304008339184,0.40395327074927606
dhxnone,0.021484334690911325,0.6694304008339184,0.40395327074927606
durcarst,0.015580997039819196,0.6694304008339184,0.40395327074927606
lbnp,0.03249153329671262,0.6694304008339184,0.40395327074927606
lbun_r,0.0185420489631327,0.6694304008339184,0.40395327074927606
lhdl_r,0.012842011344567441,0.6694304008339184,0.40395327074927606
lsalt,0.015527870668319534,0.6694304008339184,0.40395327074927606
lsbco,0.01245724028690013,0.6694304008339184,0.40395327074927606
lsbpcw,0.016511322125672863,0.6694304008339184,0.40395327074927606
lssab_r,0.019105832067826022,0.6694304008339184,0.40395327074927606
primary_etiologyCardiomyopathy,0.03400951047353004,0.6694304008339184,0.40395327074927606
txalt,0.016160802789508533,0.6694304008339184,0.40395327074927606
txast,0.017530261371946045,0.6694304008339184,0.40395327074927606
txbaosat,0.01546708575582789,0.6694304008339184,0.40395327074927606
txbun_r,0.044005756263102,0.6694304008339184,0.40395327074927606
txecmo,0.022015545034666243,0.6694304008339184,0.40395327074927606
txsa_r,0.033757052659917595,0.6694304008339184,0.40395327074927606
txtp_r,0.014497910638510405,0.6694304008339184,0.40395327074927606
