feature,importance,cindex_td,cindex_ti
chd_hlh,8.958556757293853e-4,0.7627775218088675,0.6411678984845849
cpbypass,0.00498092000838191,0.7627775218088675,0.6411678984845849
donor_age,5.764252485240093e-4,0.7627775218088675,0.6411678984845849
height_donor,5.254945911582267e-4,0.7627775218088675,0.6411678984845849
height_txpl,5.131265820383142e-4,0.7627775218088675,0.6411678984845849
hxrenins,5.789883509392183e-4,0.7627775218088675,0.6411678984845849
hxsurg,0.0019355963526344919,0.7627775218088675,0.6411678984845849
lbun_r,5.808159186020844e-4,0.7627775218088675,0.6411678984845849
lsbaosat,0.0013975908213544016,0.7627775218088675,0.6411678984845849
lsfprab,0.0011710825142013676,0.7627775218088675,0.6411678984845849
lsfprat,8.855943846323778e-4,0.7627775218088675,0.6411678984845849
ltg_r,5.696526805133271e-4,0.7627775218088675,0.6411678984845849
primary_etiology,0.004156899723694131,0.7627775218088675,0.6411678984845849
rec_t3,9.690705407733918e-4,0.7627775218088675,0.6411678984845849
txaboinc,6.301379264364956e-4,0.7627775218088675,0.6411678984845849
txbaosat,5.789651599295637e-4,0.7627775218088675,0.6411678984845849
txbun_r,5.394030535133052e-4,0.7627775218088675,0.6411678984845849
txecmo,0.003101366524049224,0.7627775218088675,0.6411678984845849
txtdsxm,5.823932502069792e-4,0.7627775218088675,0.6411678984845849
txvent,4.7394685256366045e-4,0.7627775218088675,0.6411678984845849
