feature,importance,cindex_td,cindex_ti
age_listing,0.021837726933108842,0.7215781429005172,0.36025289825242973
age_txpl,0.014465265117238696,0.7215781429005172,0.36025289825242973
cpbypass,0.18207294720834985,0.7215781429005172,0.36025289825242973
dhxnone,0.018757396744232727,0.7215781429005172,0.36025289825242973
durcarst,0.012624589769968107,0.7215781429005172,0.36025289825242973
height_donor,0.013984326151772867,0.7215781429005172,0.36025289825242973
height_listing,0.013556362553756793,0.7215781429005172,0.36025289825242973
lbnp,0.019689976602304263,0.7215781429005172,0.36025289825242973
lbun_r,0.023318148029159064,0.7215781429005172,0.36025289825242973
lsalt,0.011909934017777742,0.7215781429005172,0.36025289825242973
lstp_r,0.011623513619227453,0.7215781429005172,0.36025289825242973
primary_etiologyCardiomyopathy,0.02710294856379981,0.7215781429005172,0.36025289825242973
prm_listMedically refractory heart failure,0.05964568880135474,0.7215781429005172,0.36025289825242973
txalt,0.01169824038578054,0.7215781429005172,0.36025289825242973
txbaosat,0.0258574603352757,0.7215781429005172,0.36025289825242973
txbun_r,0.036792337984777684,0.7215781429005172,0.36025289825242973
txdcd,0.018723539718583752,0.7215781429005172,0.36025289825242973
txnomcsd,0.010640294919832765,0.7215781429005172,0.36025289825242973
txsa_r,0.02133911698978697,0.7215781429005172,0.36025289825242973
txtp_r,0.011770510670276825,0.7215781429005172,0.36025289825242973
