feature,importance,cindex_td,cindex_ti
age_listing,0.020263916113551782,0.6451255008089462,0.41979588282907815
cpbypass,0.13196271613225793,0.6451255008089462,0.41979588282907815
dhxnone,0.0406221470462683,0.6451255008089462,0.41979588282907815
durcarst,0.017727220130499457,0.6451255008089462,0.41979588282907815
height_donor,0.012773513070563687,0.6451255008089462,0.41979588282907815
lbnp,0.0369234107138456,0.6451255008089462,0.41979588282907815
lbun_r,0.017849271397571875,0.6451255008089462,0.41979588282907815
lhdl_r,0.014050500947886768,0.6451255008089462,0.41979588282907815
lsalt,0.018374268382415935,0.6451255008089462,0.41979588282907815
lsbaosat,0.01231297842350697,0.6451255008089462,0.41979588282907815
lsbci,0.012747891486059001,0.6451255008089462,0.41979588282907815
lsbco,0.014314137688157787,0.6451255008089462,0.41979588282907815
lssab_r,0.019217719489987514,0.6451255008089462,0.41979588282907815
primary_etiologyCardiomyopathy,0.027151724095414463,0.6451255008089462,0.41979588282907815
primary_etiologyCongenital HD,0.01746129604468669,0.6451255008089462,0.41979588282907815
txalt,0.016122880657376864,0.6451255008089462,0.41979588282907815
txast,0.021080445441564406,0.6451255008089462,0.41979588282907815
txbun_r,0.03743455077666533,0.6451255008089462,0.41979588282907815
txecmo,0.022595448421081958,0.6451255008089462,0.41979588282907815
txsa_r,0.04549955603490251,0.6451255008089462,0.41979588282907815
