feature,importance,cindex_td,cindex_ti
age_listing,0.018815100743753338,0.7039909332583071,0.3871650233120667
age_txpl,0.016391003501666713,0.7039909332583071,0.3871650233120667
cpbypass,0.17409233402776703,0.7039909332583071,0.3871650233120667
dhxnone,0.05542951559895522,0.7039909332583071,0.3871650233120667
height_donor,0.011047582642069183,0.7039909332583071,0.3871650233120667
lbnp,0.03395509649048436,0.7039909332583071,0.3871650233120667
lbun_r,0.015718443294327766,0.7039909332583071,0.3871650233120667
lsalt,0.0133756094881917,0.7039909332583071,0.3871650233120667
lsbaosat,0.014141052506047715,0.7039909332583071,0.3871650233120667
lsbco,0.010173654906991963,0.7039909332583071,0.3871650233120667
lssab_r,0.010131565366178782,0.7039909332583071,0.3871650233120667
primary_etiologyCardiomyopathy,0.030205668076087974,0.7039909332583071,0.3871650233120667
prm_listMedically refractory heart failure,0.013676843334786219,0.7039909332583071,0.3871650233120667
txalt,0.016486077327723794,0.7039909332583071,0.3871650233120667
txast,0.012936144466898229,0.7039909332583071,0.3871650233120667
txbaosat,0.011303607087189459,0.7039909332583071,0.3871650233120667
txbun_r,0.03737911198303386,0.7039909332583071,0.3871650233120667
txecmo,0.01356462494586761,0.7039909332583071,0.3871650233120667
txsa_r,0.05123277331851291,0.7039909332583071,0.3871650233120667
txtp_r,0.018629920007586304,0.7039909332583071,0.3871650233120667
