feature,importance,cindex_td,cindex_ti
age_listing,0.01931941275398803,0.7168626718104749,0.37848170707897155
age_txpl,0.01819752186704894,0.7168626718104749,0.37848170707897155
cpbypass,0.17626627220569643,0.7168626718104749,0.37848170707897155
dhxnone,0.03390993563673703,0.7168626718104749,0.37848170707897155
height_donor,0.010441775355362884,0.7168626718104749,0.37848170707897155
lbnp,0.030497008091686734,0.7168626718104749,0.37848170707897155
lbun_r,0.016402911182376374,0.7168626718104749,0.37848170707897155
lsalt,0.0127827861131345,0.7168626718104749,0.37848170707897155
lsbaosat,0.014110166185565128,0.7168626718104749,0.37848170707897155
lssab_r,0.01056228461266961,0.7168626718104749,0.37848170707897155
primary_etiologyCardiomyopathy,0.03327663585437399,0.7168626718104749,0.37848170707897155
prm_listMedically refractory heart failure,0.012686129485881117,0.7168626718104749,0.37848170707897155
txalt,0.015134671196013642,0.7168626718104749,0.37848170707897155
txast,0.011504832823166647,0.7168626718104749,0.37848170707897155
txbaosat,0.014218086837597387,0.7168626718104749,0.37848170707897155
txbun_r,0.04634197757125096,0.7168626718104749,0.37848170707897155
txdcd,0.013198645175597035,0.7168626718104749,0.37848170707897155
txecmo,0.015233836191208782,0.7168626718104749,0.37848170707897155
txsa_r,0.039920796257444185,0.7168626718104749,0.37848170707897155
txtp_r,0.015225199942253315,0.7168626718104749,0.37848170707897155
