feature,importance,cindex_td,cindex_ti
age_listing,6.041429776804379e-4,0.7496251782148694,0.6545280831961593
chd_hlh,0.0015551933663970066,0.7496251782148694,0.6545280831961593
cpbypass,0.0054100482672608,0.7496251782148694,0.6545280831961593
height_listing,6.0305812198195e-4,0.7496251782148694,0.6545280831961593
height_txpl,6.571683144596971e-4,0.7496251782148694,0.6545280831961593
hxsurg,0.0020387925609341067,0.7496251782148694,0.6545280831961593
lbun_r,6.477182333072553e-4,0.7496251782148694,0.6545280831961593
lsbaosat,0.0016882110364476182,0.7496251782148694,0.6545280831961593
lsfprab,7.725815997191151e-4,0.7496251782148694,0.6545280831961593
lsfprat,0.0010091383172957454,0.7496251782148694,0.6545280831961593
primary_etiology,0.002918864890252589,0.7496251782148694,0.6545280831961593
rec_t3,5.512513219674416e-4,0.7496251782148694,0.6545280831961593
sec_dx,6.361264327867654e-4,0.7496251782148694,0.6545280831961593
txaboinc,5.879186185837585e-4,0.7496251782148694,0.6545280831961593
txbaosat,0.001237143779068394,0.7496251782148694,0.6545280831961593
txbun_r,0.0011826392260109214,0.7496251782148694,0.6545280831961593
txecmo,0.0018120809733730477,0.7496251782148694,0.6545280831961593
txsa_r,7.722331673871444e-4,0.7496251782148694,0.6545280831961593
txtg_r,5.439056764649048e-4,0.7496251782148694,0.6545280831961593
txvent,8.552201144342421e-4,0.7496251782148694,0.6545280831961593
