Cohort,LASSO,AORSF,CatBoost
full_with_covid,0.3186733816161842,0.3179970715115859,0.6572092687314918
non_covid_full,0.3284494324594842,0.35504823561982235,0.5873139255063142
original,0.379924566574752,0.3888730415306435,0.558006613630841
