feature,importance,cohort,model,combined_importance,combined_importance_norm
lhdl_r,0.0061485586442403,CHD,XGBoost,0.0061485586442403,0.06672317593852323
lsbaosat,0.0059753296977587,CHD,XGBoost,0.0059753296977587,0.06484332309129306
lsrhfcl,0.0056373887270342,CHD,XGBoost,0.0056373887270342,0.061176041676061124
hxisoth,0.0055431628419822,CHD,XGBoost,0.0055431628419822,0.06015351742768673
txbaosat,0.0054872355178703,CHD,XGBoost,0.0054872355178703,0.059546603042965884
lsttperf,0.0054087895620189,CHD,XGBoost,0.0054087895620189,0.05869532006482568
atrskshs,0.0053561461816305,CHD,XGBoost,0.0053561461816305,0.05812404251265592
lscstat,0.0052809976270958,CHD,XGBoost,0.0052809976270958,0.05730854240671783
txivino,0.0052370439828278,CHD,XGBoost,0.0052370439828278,0.05683156448240703
txldl_r,0.005196611615387,CHD,XGBoost,0.005196611615387,0.05639279889156556
chd_tga,0.005152345149282,CHD,XGBoost,0.005152345149282,0.055912426274664945
txsvcsat,0.0050711902248743,CHD,XGBoost,0.0050711902248743,0.055031746002613714
height_txpl,0.0050252220372593,CHD,XGBoost,0.0050252220372593,0.05453290657580205
lsbram,0.0050063694318355,CHD,XGBoost,0.0050063694318355,0.054328321114171935
lcrp_r,0.0049883418743786,CHD,XGBoost,0.0049883418743786,0.05413268894124546
rdopdose,0.0049882629838424,CHD,XGBoost,0.0049882629838424,0.05413183283375242
draboat,0.0049798635788697,CHD,XGBoost,0.0049798635788697,0.054040683833116734
txtcdc,0.0049093146480126,CHD,XGBoost,0.0049093146480126,0.05327509810836114
lsmshemo,0.0049063522791875,CHD,XGBoost,0.0049063522791875,0.05324295095522353
lsaboinc,0.0048237047616816,CHD,XGBoost,0.0048237047616816,0.0523460733013698
lspcmt,0.0048082590043171,CHD,XGBoost,0.0048082590043171,0.05217845841050417
don_nsyn,0.004802234251646,CHD,XGBoost,0.004802234251646,0.0521130787572034
weight_txpl,0.004799440460852,CHD,XGBoost,0.004799440460852,0.05208276098592247
lsbili_d_r,0.0047612867209654,CHD,XGBoost,0.0047612867209654,0.05166872269720077
txhemagt,0.0047443787741194,CHD,XGBoost,0.0047443787741194,0.05148524035972291
lshemagt,0.0046843488242421,CHD,XGBoost,0.0046843488242421,0.050833804935748246
lsbpcw,0.0046708600285765,CHD,XGBoost,0.0046708600285765,0.05068742668053916
chd_pspl,0.0046048410151183,CHD,XGBoost,0.0046048410151183,0.04997099889556786
txbrp,0.0045851604709575,CHD,XGBoost,0.0045851604709575,0.04975742877505888
hxcva,0.004502753294397,CHD,XGBoost,0.004502753294397,0.04886315926274091
tdsacl1,0.0044986986548192,CHD,XGBoost,0.0044986986548192,0.04881915896192728
lssvcsat,0.004464687037719,CHD,XGBoost,0.004464687037719,0.04845007032782013
don_levo,0.0044283007229358,CHD,XGBoost,0.0044283007229358,0.048055211853906384
lspalb_r,0.0044096180735883,CHD,XGBoost,0.0044096180735883,0.047852470728459245
dcircod,0.0043984368876784,CHD,XGBoost,0.0043984368876784,0.04773113428558959
chd_patrd,0.0043761036395055,CHD,XGBoost,0.0043761036395055,0.047488777445012814
lsmilrin,0.004350507588397,CHD,XGBoost,0.004350507588397,0.047211013188337196
ltg_r,0.0043203305096354,CHD,XGBoost,0.0043203305096354,0.046883536351565516
slvent,0.0042729037557413,CHD,XGBoost,0.0042729037557413,0.04636886879655514
txdcd,0.0042664857403761,CHD,XGBoost,0.0042664857403761,0.046299221519336846
dmhhyten,0.0042598716436796,CHD,XGBoost,0.0042598716436796,0.04622744639884281
txbili_d_r,0.0042456969385478,CHD,XGBoost,0.0042456969385478,0.04607362476370695
lsfprat,0.004228923645553,CHD,XGBoost,0.004228923645553,0.045891603668306184
atrial,0.0042228265672913,CHD,XGBoost,0.0042228265672913,0.045825439149253015
bicaval,0.0041843412616292,CHD,XGBoost,0.0041843412616292,0.045407802761715986
lpacebiv,0.0041782055847622,CHD,XGBoost,0.0041782055847622,0.04534121937676572
lsdobut,0.0041718075064031,CHD,XGBoost,0.0041718075064031,0.0452717884527519
txalt_high,0.0041654600579767,CHD,XGBoost,0.0041654600579767,0.045202906956677676
egfr_tx_cat,0.0041091949122318,CHD,XGBoost,0.0041091949122318,0.04459232658557552
hxgiot,0.0040828460441135,CHD,XGBoost,0.0040828460441135,0.04430639287900103
txfcpra,0.004082663036099,CHD,XGBoost,0.004082663036099,0.044304406905270245
roprdsc1,0.004034973183051,CHD,XGBoost,0.004034973183051,0.04378688424028196
hxfail,0.00397913848668,CHD,XGBoost,0.00397913848668,0.043180975037004514
age_txpl_months,0.0039690170285846,CHD,XGBoost,0.0039690170285846,0.04307113859104553
txcrp_r,0.0039688218847284,CHD,XGBoost,0.0039688218847284,0.04306902092109978
dmechod,0.0039089838250665,CHD,XGBoost,0.0039089838250665,0.04241966785908079
hiv,0.0039000418254774,CHD,XGBoost,0.0039000418254774,0.042322630708368295
lebvpcr,0.0038928525595265,CHD,XGBoost,0.0038928525595265,0.04224461394303093
slinods,0.0038702724180242,CHD,XGBoost,0.0038702724180242,0.04199957785549421
dcmv,0.0038508196503967,CHD,XGBoost,0.0038508196503967,0.04178847952952854
dhbcab,0.0038220053853873,CHD,XGBoost,0.0038220053853873,0.04147579172983382
hxturner,0.003817131594807,CHD,XGBoost,0.003817131594807,0.041422902133231944
lsfprab,0.003814049712214,CHD,XGBoost,0.003814049712214,0.041389458035782006
txcntry,0.0038042884343048,CHD,XGBoost,0.0038042884343048,0.04128353020765102
donspac,0.0037655930038907,CHD,XGBoost,0.0037655930038907,0.040863613579880796
chd_unk,0.0037370587782357,CHD,XGBoost,0.0037370587782357,0.040553964722512964
chd_alcapa,0.0037351946089681,CHD,XGBoost,0.0037351946089681,0.04053373505549373
txtg_r,0.003702064644133,CHD,XGBoost,0.003702064644133,0.04017421397088958
dtime,0.0036697322414486,CHD,XGBoost,0.0036697322414486,0.039823347903303594
drpr,0.0035812870479642,CHD,XGBoost,0.0035812870479642,0.038863554796132946
slnomcsd,0.003516519231979,CHD,XGBoost,0.003516519231979,0.03816070480621171
lsdcd,0.0035097433668429,CHD,XGBoost,0.0035097433668429,0.03808717420045987
txbdsxn,0.0034961712388661,CHD,XGBoost,0.0034961712388661,0.03793989163632519
age_txpl,0.0034832941295159,CHD,XGBoost,0.0034832941295159,0.037800151303270406
txsa_r_low,0.0034808525324463,CHD,XGBoost,0.0034808525324463,0.03777365548201017
txbco,0.0034740787153621,CHD,XGBoost,0.0034740787153621,0.037700147101390295
dtoxo,0.0034278807562636,CHD,XGBoost,0.0034278807562636,0.03719881423115452
tdsa,0.0034149986986459,CHD,XGBoost,0.0034149986986459,0.03705902020029151
hxvtach,0.003397809947876,CHD,XGBoost,0.003397809947876,0.036872490623500724
txhdl_r,0.003368722872213,CHD,XGBoost,0.003368722872213,0.03655684232618514
aaschool,0.0033526373548331,CHD,XGBoost,0.0033526373548331,0.036382284861858655
don_epi,0.0033410727914126,CHD,XGBoost,0.0033410727914126,0.03625678806750328
hxmit,0.0033272015114839,CHD,XGBoost,0.0033272015114839,0.03610625915418761
txcstat,0.0033004108961707,CHD,XGBoost,0.0033004108961707,0.035815531677640164
lsnyha,0.0031867462696987,CHD,XGBoost,0.0031867462696987,0.03458206131346267
txtdsxm,0.0031630703930402,CHD,XGBoost,0.0031630703930402,0.03432513448309671
chd_ahih,0.0031489449214475,CHD,XGBoost,0.0031489449214475,0.034171847122460214
dmhinf,0.0031437950138794,CHD,XGBoost,0.0031437950138794,0.034115961148427035
txchol_r,0.0031421796812609,CHD,XGBoost,0.0031421796812609,0.0340984318169626
cpr,0.0031290133122091,CHD,XGBoost,0.0031290133122091,0.03395555248384642
lspge,0.0030246719527276,CHD,XGBoost,0.0030246719527276,0.03282325672329927
dptxecho,0.0029353164087877,CHD,XGBoost,0.0029353164087877,0.03185358463844904
chd_vsd,0.0029084280222215,CHD,XGBoost,0.0029084280222215,0.03156179616388676
lsfpres,0.0029018066477236,CHD,XGBoost,0.0029018066477236,0.03148994206585484
lsprocm,0.0028828411395664,CHD,XGBoost,0.0028828411395664,0.031284131401802424
chd_triat,0.0028669505408667,CHD,XGBoost,0.0028669505408667,0.031111689163847718
incarctn,0.0028537076196278,CHD,XGBoost,0.0028537076196278,0.030967979098629285
chd_avsep,0.002838536905941,CHD,XGBoost,0.002838536905941,0.030803348937805248
ttrmax,0.0028266410106936,CHD,XGBoost,0.0028266410106936,0.03067425658340735
txbpam,0.0027405107244191,CHD,XGBoost,0.0027405107244191,0.029739584479383057
ebv,0.0027327560763153,CHD,XGBoost,0.0027327560763153,0.029655432277263968
hxarryth,0.0027054376664498,CHD,XGBoost,0.0027054376664498,0.02935897725857045
donspxm,0.002659204617953,CHD,XGBoost,0.002659204617953,0.028857263603791216
txo2,0.0026583868359483,CHD,XGBoost,0.0026583868359483,0.028848389164148346
hbsag,0.0026444459951036,CHD,XGBoost,0.0026444459951036,0.028697105386887276
hxisousp,0.0026032878593147,CHD,XGBoost,0.0026032878593147,0.02825046387390164
chd_patr,0.0025989001489505,CHD,XGBoost,0.0025989001489505,0.02820284914213486
dabotype,0.002582333229096,CHD,XGBoost,0.002582333229096,0.02802306757507659
pcage,0.0025668453199416,CHD,XGBoost,0.0025668453199416,0.027854995259722334
chd_shone,0.0025514223812659,CHD,XGBoost,0.0025514223812659,0.027687627993621396
hlatxpre,0.0025100507440727,CHD,XGBoost,0.0025100507440727,0.027238669597511356
tdsacl2,0.0025025785921556,CHD,XGBoost,0.0025025785921556,0.0271575829988707
txedp,0.002500336695581,CHD,XGBoost,0.002500336695581,0.027133254295472364
hxchb,0.0024817542480583,CHD,XGBoost,0.0024817542480583,0.026931600544216866
hxaf_fl,0.0024781595914304,CHD,XGBoost,0.0024781595914304,0.026892591904875574
lshpo2,0.0024553525682108,CHD,XGBoost,0.0024553525682108,0.026645093733195797
don_t3,0.002413882593469,CHD,XGBoost,0.002413882593469,0.02619506819372156
don_t4,0.0023879825409809,CHD,XGBoost,0.0023879825409809,0.025914004962650436
chd_hrh,0.0023235791508645,CHD,XGBoost,0.0023235791508645,0.025215109664026365
chd_aspl,0.0022498030857587,CHD,XGBoost,0.0022498030857587,0.02441450359406272
dhxinsul,0.0022428047287943,CHD,XGBoost,0.0022428047287943,0.024338558542541792
chd_ma,0.0022100539861013,CHD,XGBoost,0.0022100539861013,0.023983152716028393
lcmvpcr,0.0021593391497373,CHD,XGBoost,0.0021593391497373,0.023432803415452327
don_oth,0.0021121795778044,CHD,XGBoost,0.0021121795778044,0.022921035276392294
txfontp,0.002073052009515,CHD,XGBoost,0.002073052009515,0.02249642915744996
egfr_listing_cat,0.0020694098274685,CHD,XGBoost,0.0020694098274685,0.022456904779860034
hxgi,0.0020407391590209,CHD,XGBoost,0.0020407391590209,0.022145775267108897
lvldl_r,0.002033409712878,CHD,XGBoost,0.002033409712878,0.022066237288727125
statlist,0.0020316885515885,CHD,XGBoost,0.0020316885515885,0.0220475595214352
drhtype,0.0020298801386472,CHD,XGBoost,0.0020298801386472,0.022027934913159745
chd_dolv,0.0020188119480928,CHD,XGBoost,0.0020188119480928,0.021907824677832623
efind,0.0020135825536586,CHD,XGBoost,0.0020135825536586,0.021851076125029616
slivino,0.001986521837135,CHD,XGBoost,0.001986521837135,0.02155741755330597
chd_ar,0.001983523084702,CHD,XGBoost,0.001983523084702,0.02152487557106911
hxsyn,0.0019330056021562,CHD,XGBoost,0.0019330056021562,0.020976667922593287
hxtrans,0.0018968602585579,CHD,XGBoost,0.0018968602585579,0.02058442442947365
tdsacomp,0.0018965961551718,CHD,XGBoost,0.0018965961551718,0.02058155842172837
hiscanc,0.0018847956181892,CHD,XGBoost,0.0018847956181892,0.020453500879982933
chd_dilv,0.0018767865526545,CHD,XGBoost,0.0018767865526545,0.020366587780556687
hbsab,0.0018716161391587,CHD,XGBoost,0.0018716161391587,0.020310479279472726
riskothr,0.0018044149580517,CHD,XGBoost,0.0018044149580517,0.01958122280007341
tdsaunk,0.0017814254753463,CHD,XGBoost,0.0017814254753463,0.01933174460720865
chd_hlh,0.0017549377141258,CHD,XGBoost,0.0017549377141258,0.019044303654882598
txpalb_r,0.0017473889206007,CHD,XGBoost,0.0017473889206007,0.01896238535375837
toxo,0.0017378826355073,CHD,XGBoost,0.0017378826355073,0.018859224666919538
rdobdose,0.0017257875865941,CHD,XGBoost,0.0017257875865941,0.01872797112876284
txmcsd,0.0016945766981837,CHD,XGBoost,0.0016945766981837,0.018389275554873255
prm_list,0.0016927566192054,CHD,XGBoost,0.0016927566192054,0.018369524348628378
txinhosp,0.0016402409771161,CHD,XGBoost,0.0016402409771161,0.017799632992069343
debv,0.0016057371104795,CHD,XGBoost,0.0016057371104795,0.017425202544648986
hxmed,0.0015910571378558,CHD,XGBoost,0.0015910571378558,0.017265897827426945
don_dop,0.0015850195027829,CHD,XGBoost,0.0015850195027829,0.0172003783763603
txno2,0.0015826494442652,CHD,XGBoost,0.0015826494442652,0.01717465888003424
chd_heter,0.0015532227280794,CHD,XGBoost,0.0015532227280794,0.016855324858035866
chd_bivc,0.0014884077145947,CHD,XGBoost,0.0014884077145947,0.016151962688391676
dmhdiab,0.0014866620238869,CHD,XGBoost,0.0014866620238869,0.016133018731771878
chd_lvotoas,0.0014665462222691,CHD,XGBoost,0.0014665462222691,0.015914725266888655
cmv,0.0014639411219522,CHD,XGBoost,0.0014639411219522,0.015886455134514647
lshemo,0.0014635440008304,CHD,XGBoost,0.0014635440008304,0.01588214563955625
txbpcw,0.0014468607395425,CHD,XGBoost,0.0014468607395425,0.01570110155385274
rabotype,0.001445247772432,CHD,XGBoost,0.001445247772432,0.015683597892503138
injdrugs,0.0013773057654516,CHD,XGBoost,0.0013773057654516,0.014946302089101115
dhbsab,0.0013032572784007,CHD,XGBoost,0.0013032572784007,0.014142739739719128
chd_mr,0.0012624698449995,CHD,XGBoost,0.0012624698449995,0.013700121029810846
chd_sv,0.00123084689602,CHD,XGBoost,0.00123084689602,0.013356953840467915
hcab,0.0011781382100668,CHD,XGBoost,0.0011781382100668,0.012784967602744021
hxcpr,0.0011500701582516,CHD,XGBoost,0.0011500701582516,0.0124803775893965
ttmaxvo2,0.0011480977295977,CHD,XGBoost,0.0011480977295977,0.01245897310881573
hxneuro,0.0011309300211802,CHD,XGBoost,0.0011309300211802,0.012272671880270866
donspecp,0.0010900279325255,CHD,XGBoost,0.0010900279325255,0.01182880894987219
rpr,0.0010814923125682,CHD,XGBoost,0.0010814923125682,0.011736181765989213
hxfonlvr_bin,0.0010721250630154,CHD,XGBoost,0.0010721250630154,0.011634529870620691
slecmo,0.0010656714602624,CHD,XGBoost,0.0010656714602624,0.01156449640475644
hxvfib,0.0010611629185194,CHD,XGBoost,0.0010611629185194,0.011515570430174387
txvad,0.0010397199376695,CHD,XGBoost,0.0010397199376695,0.011282874628332353
lschool,0.000992098891992078,CHD,XGBoost,0.000992098891992078,0.010766098649934951
hxpuldis,0.0009871554467697022,CHD,XGBoost,0.0009871554467697022,0.010712453172287273
txhemo,0.000955238593345893,CHD,XGBoost,0.000955238593345893,0.010366096578877241
lsnox,0.0009398539381424612,CHD,XGBoost,0.0009398539381424612,0.010199144758900101
hxsurg,0.0008731178582266332,CHD,XGBoost,0.0008731178582266332,0.009474935483309575
hxprenat,0.0008560396184946596,CHD,XGBoost,0.0008560396184946596,0.009289605154643978
slhosp,0.0008489881306399051,CHD,XGBoost,0.0008489881306399051,0.00921308353519063
status_txpl,0.0008349933770704628,CHD,XGBoost,0.0008349933770704628,0.00906121470565529
hxdigorg,0.0008178780381379793,CHD,XGBoost,0.0008178780381379793,0.008875481782393784
dhxunk,0.0008001097159869039,CHD,XGBoost,0.0008001097159869039,0.008682662789583307
hxasplen,0.0007887460854875706,CHD,XGBoost,0.0007887460854875706,0.008559346487181662
pacemake,0.0007634597756961273,CHD,XGBoost,0.0007634597756961273,0.008284943493785649
lsunkn,0.0007474276672138194,CHD,XGBoost,0.0007474276672138194,0.008110965614281714
txdopa,0.0006964237303470424,CHD,XGBoost,0.0006964237303470424,0.0075574790412444364
chd_avd,0.0006907457288273722,CHD,XGBoost,0.0006907457288273722,0.007495862276032145
dptxangi,0.000579032083310488,CHD,XGBoost,0.000579032083310488,0.006283563645435304
hxrenins,0.0005640146344192004,CHD,XGBoost,0.0005640146344192004,0.006120596689682218
lsfcpra,0.0005407677884725323,CHD,XGBoost,0.0005407677884725323,0.0058683256320469
don_mil,0.0005399944353775268,CHD,XGBoost,0.0005399944353775268,0.005859933327832807
hxmet,0.0004974411908998132,CHD,XGBoost,0.0004974411908998132,0.005398152318278446
hemdilut,0.0004367566144555801,CHD,XGBoost,0.0004367566144555801,0.004739612991401193
hxresp,0.00038617169725111626,CHD,XGBoost,0.00038617169725111626,0.004190673552784827
chd_tof,0.0003468789666242427,CHD,XGBoost,0.0003468789666242427,0.003764275118547266
hbcab,0.00034309731229957574,CHD,XGBoost,0.00034309731229957574,0.0037232372100807353
txepine,0.00030079897355615574,CHD,XGBoost,0.00030079897355615574,0.0032642223968239316
hxiso,0.0002657055364090353,CHD,XGBoost,0.0002657055364090353,0.002883394024429975
lshnes,0.00019059236032329172,CHD,XGBoost,0.00019059236032329172,0.002068277839766897
chd_ctga,0.00016206742055696507,CHD,XGBoost,0.00016206742055696507,0.0017587297513791745
txaboinc,0.0001364305148063345,CHD,XGBoost,0.0001364305148063345,0.001480522146655252
hxshock,1.279011031106665e-06,CHD,XGBoost,1.279011031106665e-06,1.3879623338354995e-05
